fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,days_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,curr_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_non,year
106164029,adventist medical center - hanford,01jan2013,31dec2013,365,audited,incl. ind. audit adj.,kings,9,615,non-profit,general,comparable,rural,(559) 582-9000,115 mall drive/1141 rose,hanford,93232,wayne ferch,ceo,www.adventisthealthcv.com,adventist health,sara osmanson,hanford community medical center,0,05-0121,,zzt30121f,199,199,104,17901,2352,4011,4368,1345,317,4426,181,2779,37680,4084,767,1160,1516,165,51,1207,45,681,9676,199,0,0,0,0,0,37680,0,0,0,0,0,9676,0,0,0,0,0,51.9,51.9,3.9,3.9,8,1378,790,46405,2387,18868,52187,5901,12784,61842,2919,11598,214891,108613,0,0,104592,0,12,285503,389725,3017,8298,560,208,861735689,646503516,2400,215234573,4865183,207087263,13012493,2724852,1560658,0,0,14176687,96885238,183160731,581689720,155245608,20230963,36061056,44355717,13582768,3868912,47192413,1580077,20116518,342234032,112348368,10853997,55416479,128981105,16368875,19243713,134160501,1405234,40723385,519501657,210638290,24446609,48764440,146189657,0,26840391,15006372,100548327,15439991,0,14862515,0,43766924,0,0,0,2400,56955686,6638351,30328029,27147165,3111252,8106253,80806987,0,2140850,0,0,0,1189566,0,0,28916870,13620780,54560887,0,0,0,7240,41913551,9082862,42758487,16226586,73799854,31450353,14028376,3464291,28852446,26393048,11830294,1026373,3780723,5986875,6474630,57395995,4663795,147066673,6801930,33602137,33604,249564134,26299688,0,158179658,65084788,249564134,13235456,109393051,-83858124,178438921,54357885,239931020,92864347,0,20745183,140162411,160907594,2727936,7309998,2109517,1221,351,2240417,313493,2553910,319,2,157212,565625,558996,11172,151455,520821,254920,6229,9325,4662,493772,213211,569406,64,483733,213351,266880,0,579821,242973,652262,70,536070,242460,300254,0,2013
106100797,adventist medical center - reedley,01jan2013,31dec2013,365,audited,excl. ind. audit adj.,fresno,9,607,non-profit,general,comparable,rural,(559) 638-8155,372 west cypress avenue,reedley,93654,wayne ferch,president/ceo,www.adventisthealthcv.com,adventist health,tracy moziak addleman,hfs consultants,0,05-0192,hsc00192f,zzr00192f,49,49,13,1056,132,971,1262,0,131,381,0,498,4431,383,44,583,695,0,72,227,0,180,2184,49,0,0,0,0,0,4431,0,0,0,0,0,2184,0,0,0,0,0,24.8,24.8,2,2,12,1746,1232,22335,916,13032,69949,0,10069,9819,0,16002,142122,21096,85939,0,35538,0,4,62256,22990,529,314,819,418,125756512,88470818,0,37285694,129503,43803997,-6388800,267452,59072,0,0,-6180420,13560121,50718967,61477424,5895578,744737,9130130,10017477,0,1697040,1757160,0,2900214,32142336,16717670,1387688,10858100,37109146,0,9497750,7011583,0,11032239,93614176,18133577,1642232,8331213,38044892,-1932412,0,8848074,3904809,10030235,0,1468198,0,0,0,0,0,0,4479671,490193,13589429,9081731,0,2346716,4863934,0,2434020,0,0,0,4591,0,0,3176038,15722055,9456950,0,0,0,0,6123431,2296069,4871886,2157568,15392484,6115870,6671463,522861,3536520,4555571,1482374,1717704,457988,487909,2863253,17357472,0,8617231,4643196,0,8066962,38684861,26158898,0,21326326,-8800363,38684861,182135,22226045,-14020611,4580851,6530971,11632344,3015113,0,0,0,21511314,184988,0,15202284,304,96,560920,74341,635261,26,0,23891,71791,85123,30821,82835,175075,53148,34757,1577,1902,56840,205576,103981,0,76911,66689,50923,0,66858,231882,118045,0,89634,71759,57083,0,2013
106301098,ahmc anaheim regional medical center,01jul2012,30jun2013,365,audited,incl. ind. audit adj.,orange,13,1012,investor,general,comparable,,(714) 774-1450,1111 west la palma avenue,anaheim,92801,donald lorack,ceo,,ahmc healthcare inc,linda marsh,monterey park hospital,0,05-0226,hsc30226f,zzt30226f,223,223,157,14866,10897,4771,8538,3791,784,6489,3060,842,54038,2949,2745,812,2113,856,128,1904,521,467,12495,223,0,0,0,0,0,54038,0,0,0,0,0,12495,0,0,0,0,0,66.40000000000001,66.40000000000001,4.3,4.3,10,2806,1451,12667,12731,8172,15391,25277,819,15028,41,5800,95926,69416,0,0,31986,0,3,331993,203373,2645,2528,1123,454,1440356657,1244075258,2078431,198359830,807454,199305016,-137732,1547668,84017,0,0,1325919,260553449,124019704,1055783504,265790096,231885577,82077809,145610534,66448732,7013479,83424516,14723242,12572351,909546336,90528329,106055912,12930802,74807932,164321032,3728930,57170371,215294,21051719,530810321,306243994,291175477,66895553,189582064,0,214909762,9052998,111178985,20261344,0,22025777,0,12749304,2078431,0,0,0,50074431,48844443,23635380,29391070,14695771,1689411,29415902,0,613422,0,0,0,130063,0,0,43398565,9510846,69819065,0,0,0,0,24514971,8685929,34459275,8916365,71160779,28607505,2373204,448290,38602909,30194380,3744999,8102435,855962,0,15214553,59430956,0,14534838,241799,0,0,74207593,55227994,0,0,18979599,74207593,13943165,228274931,-187812398,239108,23434190,23732124,9197286,0,0,0,0,0,0,5233064,1078,396,1945231,306387,2251618,570,0,191840,454253,669610,8455,136351,449833,24717,0,9035,1137,716700,135081,567517,0,195786,124784,205363,0,839549,152507,661737,0,225615,141706,230504,0,2013
106010846,alameda county medical center,01jul2012,30jun2013,365,audited,incl. ind. audit adj.,alameda,5,417,city/county,general,comparable,teaching,(510) 437-4800,1411 east 31st street,oakland,94602,"wright lassiter, iii",ceo,www.acmedctr.org,county of alameda,alex wong,"toyon associates, inc.",2,05-0320,hsc00320w,zzr00320w,475,445,325,19422,835,47743,19538,16808,3465,0,4357,3392,115560,2141,140,3898,3376,3209,525,0,739,577,14605,236,80,0,50,109,0,46368,24978,0,7374,36840,0,11024,2969,0,460,152,0,66.7,71.09999999999999,7.9,5.4,20,1828,846,48988,2772,76746,79034,144822,13074,0,16954,17482,399872,97114,160967,0,148004,0,7,286953,245782,2631,2825,872,259,1211898216,672557748,0,539340468,55716580,569264796,25792252,90618652,129479,0,0,116281425,424594052,237067886,550236278,121125332,7949892,231125062,154132430,167796392,42024505,0,37948561,29545419,791647593,45429479,3411051,62055196,72766490,180551079,14433797,0,20483625,21119906,420250623,104460314,8831304,224024888,125978346,-144758363,240652950,16417657,0,29935702,0,58432186,0,8582764,0,0,0,0,62094497,2529639,213913733,100920574,107694521,31457881,0,0,20729623,80365606,27812792,0,449247,90081979,0,127880745,88192776,113980891,0,10993369,4784731,30591513,93228500,17805912,75110810,6695549,227339114,121027302,52324198,32931359,47751740,50555239,6602675,6534825,3968796,0,20229548,286578189,0,50392683,16819725,0,0,353790597,402684055,0,3011165,-51904623,353790597,20512012,261259222,-197679121,53191408,94813999,152456359,102063676,3933739,0,0,3933739,922574,6705991,155084642,2489,746,4911554,670971,5582525,590,126,290165,1470334,953211,122531,201795,721232,0,746698,274482,131106,1178124,1026033,619838,302188,806421,291686,687264,0,1356019,1181794,708812,320404,925770,331043,758683,0,2013
106010735,alameda hospital,01jul2012,30jun2013,365,audited,incl. ind. audit adj.,alameda,5,417,district,general,comparable,,(510) 522-3700,2070 clinton avenue,alameda,94501-4397,deborah e. stebbins,ceo,www.alamedahospital.org,city of alameda healthcare district,john r smith,pacific hospital management,0,05-0211,hsc00211f,zzr00211f,281,281,195,20683,916,36101,2784,0,2741,1760,167,1493,66645,1676,198,308,282,0,135,324,19,161,3103,100,0,0,0,181,0,11559,0,0,0,55086,0,2838,0,0,0,265,0,65,65,21.5,4.1,0,0,0,54310,10299,4914,14936,0,22708,24139,864,7744,139914,17175,76054,0,49817,0,2,39633,49607,545,1469,0,0,314386936,240477514,0,73909422,698445,83271618,-8663751,6362239,52477,0,0,-2353989,122488385,43360303,148538248,99569220,9569267,52945638,16439493,0,8651141,20866837,956233,8562376,217560205,34000378,5713725,1947696,12629173,0,6095413,28651374,782476,7006496,96826731,110181267,11921792,32409751,21003988,0,0,11173987,39679413,11738810,0,1738709,0,629797,0,0,0,0,23388331,3361200,22432407,8064678,0,3572567,9838798,0,3251441,0,0,200000,12154,5808450,0,26667133,7980448,20531112,0,0,0,0,12740252,2952079,11423932,976662,41105917,11936202,2950602,4630869,8353706,6739295,979505,2538715,331546,137220,3568041,25211437,211238,5771504,3531248,0,0,34725427,22367882,5731269,1876414,4749862,34725427,4861959,71446808,-59094810,24921604,20266872,46353318,40581814,0,814911,0,2404296,527882,0,0,531,220,962851,170416,1133267,267,0,61660,218575,203346,44479,179839,115850,106496,3072,29534,0,431073,63273,143202,0,185557,40692,99054,0,501296,74188,176725,0,219818,46507,114733,0,2013
106190017,alhambra hospital,01jul2012,30jun2013,365,audited,incl. ind. audit adj.,los angeles,11,913,investor,general,comparable,,(626) 570-1606,100 south raymond avenue,alhambra,91802,iris lai,ceo,,alhambra hospital medical center lp,linda marsh,ahmc inc.,0,05-0281,hsc30281f,,144,144,85,11429,1835,10578,2144,222,195,1132,272,246,28053,1567,597,385,736,81,67,279,44,57,3813,101,0,0,17,26,0,14865,0,0,3768,9420,0,3553,0,0,245,15,0,53.4,53.4,7.4,4.9,0,0,0,6624,2228,1172,5415,711,176,3536,454,2564,22880,16080,0,0,7960,0,5,43229,52153,625,1439,0,0,449370958,379751422,23463754,93083290,2745181,87952476,7875995,18574359,0,0,0,26450354,132713689,38203603,278453666,152854114,31345066,96526581,36170153,3635580,3209302,15101037,3462591,3704671,346009095,40299493,12356256,4700259,17688070,3076015,572389,14017379,843649,9808353,103361863,160210003,49552756,80879780,47976593,0,5583550,2881589,11355856,4472256,0,7820289,0,9018750,17926249,5537505,0,0,32943604,12074815,17863446,11419135,97610,900102,17762560,0,22018,0,0,0,54832,0,0,18256246,3554366,34144677,0,0,0,0,11141652,2899785,13483359,4472391,27485696,10212621,1002112,1091876,7905258,26833837,705718,3937190,275528,1488,8501152,34640837,0,4914902,0,38686790,725032,78967561,28412764,0,0,50554797,78967561,18045355,85949062,-75043853,0,5909814,5909814,994912,0,0,0,0,0,0,0,454,177,879848,85022,964870,194,0,97828,204571,187620,48806,109245,168750,41492,0,21528,8,366854,41656,177072,0,120088,70997,103181,0,404275,44514,192803,0,131122,78009,114147,0,2013
106010739,alta bates summit med ctr-alta bates campus,01jan2013,31dec2013,365,audited,incl. ind. audit adj.,alameda,5,415,non-profit,general,comparable,,(510) 204-4444,2450 ashby avenue,berkeley,94705,charles prosper,ceo,http://www.altabatessummit.org/,sutter health,david hill,sutter health,0,05-0305,hsc00305f,zzr00305f,458,458,306,29234,4295,14020,15189,512,4384,32270,1109,386,101399,4167,644,3170,3426,85,429,6903,297,92,19213,347,69,0,42,0,0,73271,16344,0,11784,0,0,16297,2106,0,810,0,0,60.7,60.7,5.3,5.3,55,16982,2995,63729,11058,11693,23703,623,6335,137391,3952,5676,264160,41037,166474,0,30655,0,26,547575,682095,4786,8740,5168,1798,1967224049,1377176238,63966,590111777,14807886,673389032,-68469369,11359343,3875710,0,0,-60985736,603184435,205385690,1158653924,374543635,57986803,171993040,193036708,6467941,79771204,414617067,15431729,6502097,1320350224,185314485,32107069,33469772,77086366,2467168,13221071,280140173,10258428,12809293,646873825,437467645,67508202,95344614,220698314,0,8522132,65387523,418698957,26717566,0,29606902,0,7224383,0,0,0,63966,120933683,21352584,105480466,47011069,269459,27394427,266424271,0,1245818,0,-142432006,244728,8521087,0,0,121161020,46499805,165574558,0,0,101144,0,146017394,19392158,148180122,26462831,184498258,123427386,22330796,29732262,66137538,141036816,18798240,3569158,7378230,0,76480348,158320898,0,113413045,43002651,32910943,1584965,349232502,90712152,0,1572520,256947830,349232502,42886573,453872136,-372924428,273411250,183749798,469563300,356150255,0,0,0,1572520,0,13140656,0,1852,654,3518328,656467,4174795,665,0,171010,867598,1092883,60862,201584,440859,360330,0,4107,319095,1171651,287849,822320,1755,788521,60920,385312,0,1421002,327875,971158,2080,957648,70795,424237,0,2013
106010937,alta bates summit med ctr-summit campus-hawthorne,01jan2013,31dec2013,365,audited,incl. ind. audit adj.,alameda,5,417,non-profit,general,comparable,,(510) 655-4000,hawthorne ave & webster st,oakland,94609,charles prosper,ceo,,sutter health,david hill,sutter health,0,05-0043,hsc00043f,,399,399,183,29848,6023,2730,7604,710,1163,11438,955,432,60903,5675,1207,454,1675,144,238,2447,231,104,12175,351,0,0,0,48,0,52168,0,0,0,8735,0,11413,0,0,0,762,0,41.8,41.8,5,4.6,0,0,0,35237,8938,5557,18036,719,1772,37424,2755,3150,113588,36637,8570,0,74114,0,38,466303,453749,2900,4371,0,0,1489776939,1131693716,0,358083223,66717558,470794177,-45993396,33934665,4392545,0,0,-16451276,353124996,122047984,1014603959,480624270,98301888,42223861,131747527,10408546,19763971,220564935,16225802,7346539,1027207339,143496152,36399364,22628878,73447783,2927986,7216461,152407007,11222864,12823105,462569600,479821847,105207191,29834597,169122189,0,12960882,19156412,254376493,14182186,0,28174059,0,18857860,0,0,0,0,142948715,28034352,34335411,33797892,344508,7368771,110924485,0,329089,0,205632229,0,6684690,0,0,85486486,24478165,129011558,0,0,0,58483492,57839146,11783413,77884395,25827522,146828690,90299525,12358566,14496440,67212642,65500180,22157260,4150836,3464442,6372081,37953515,197233758,0,168923507,298515088,10817266,0,675489619,101966050,0,435935640,137587929,675489619,90850172,334986567,-265018428,427731505,142185785,592346212,423422705,0,0,437517429,437517429,1581789,0,0,1561,456,2930321,516351,3446672,687,0,201360,625901,745223,16214,184604,592799,364390,0,1624,198206,788244,231173,601908,330523,564823,67389,321240,25021,971127,266201,725149,376262,644786,75481,357481,30185,2013
106370652,alvarado hospital,01jan2013,31dec2013,365,in process,incl. ind. audit adj.,san diego,14,1418,investor,general,comparable,,(619) 287-3270,6655 alvarado road,san diego,92120,luis leon,president,www.alvaradohospital.com,prime healthcare services,jeff brown,hospital management services,0,05-0757,hsc30583i,hsp30583i,306,264,84,12458,2028,2731,2798,2488,2489,4988,3,105,30088,2717,488,473,771,610,377,1232,1,33,6702,256,0,0,50,0,0,27316,0,0,2772,0,0,6508,0,0,194,0,0,26.9,31.2,4.5,4.5,0,0,0,10545,1687,1437,5967,2504,2377,12303,64,4976,41860,24734,0,0,21067,0,8,266220,118620,1783,1111,0,0,610732778,481499782,58329,129291325,853602,152906443,-22761516,2722890,642403,0,0,-20681029,81902312,37189548,491640918,194546540,53470472,38362353,38896593,18187287,18350966,89370675,51158,11450398,462686442,50712946,13100706,3753005,21420280,7857838,3563869,33948018,153084,13536590,148046336,197920434,52173382,29893795,44041005,0,0,15037413,89061931,17666251,0,204241,0,35501330,58329,0,0,0,47327052,14403125,10509563,15900868,2459971,6877422,30435602,1,1377721,0,0,0,0,0,0,26905264,7082852,46045980,0,0,0,0,18507025,3125030,37125480,14114812,44323637,14869698,385617,7003013,27816908,17948854,7400832,2008161,1105836,7707297,22336590,40163291,0,62096363,2958706,16062,0,105234422,57740071,0,64594228,-17099877,105234422,508243,44521501,-28435424,52559146,25996123,82851269,20754906,70000000,957864,0,70957864,6363636,0,18998224,671,272,1300406,131855,1432261,235,0,73965,500061,440976,2590,86706,158106,328,1949,35676,49,457945,88365,357382,0,211991,65088,119635,0,505057,96687,395676,0,230844,72592,131405,0,2013
106370749,alvarado parkway institute bhs,01jan2013,31dec2013,365,audited,excl. ind. audit adj.,san diego,14,1422,investor,psychiatric,comparable,,(619) 465-4411,7050 parkway drive,la mesa,92042,saleem ishaque,ceo,alvaradoparkwayinstitute.com,helix healthcare,john r smith,pacific hospital management,0,05-4075,,hsp340756,66,66,66,13605,1373,1471,0,0,2876,2437,0,215,21977,1515,153,164,0,0,320,271,0,23,2446,0,66,0,0,0,0,0,21977,0,0,0,0,0,2446,0,0,0,0,91.2,91.2,9,9,0,0,0,101101,1130,0,0,0,1180,7290,0,276,110977,0,0,0,0,0,0,0,0,0,0,0,0,53310929,28778185,0,24532744,90811,22922491,1701064,0,51086,0,0,1649978,26249814,24575630,2485485,17964288,1792872,1859611,0,0,3610691,3086460,0,273687,28587609,22120920,285288,0,0,0,291579,1950207,0,75326,24723320,20810468,1075467,1069358,0,0,0,1699902,3139581,866246,0,117163,0,0,0,0,0,0,19274740,1002693,790253,0,0,1930276,1333901,0,200881,0,0,0,0,0,0,5672283,4113792,453914,0,0,0,0,4889136,1386056,4078973,2328337,12280955,2852765,580788,0,1200757,1618007,132083,2439446,90000,148483,1579207,5279121,0,585146,0,0,977710,6841977,2814015,0,0,4027962,6841977,1156236,5594560,-2922919,98409,199668,998996,413850,0,0,0,0,0,0,0,252,90,482268,42538,524806,82,0,47603,137114,45427,26494,114850,51188,59592,0,0,0,185711,95715,0,0,113832,30521,56489,0,202052,104138,0,0,124049,33207,61360,0,2013
