fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,days_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,curr_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_non,year
106164029,adventist medical center - hanford,01jan2011,31dec2011,365,audited,incl. ind. audit adj.,kings,9,615,non-profit,general,comparable,,(559) 582-9000,115 mall drive/1141 rose,hanford/selma,93232,wayne ferch,ceo,www.adventisthealthcv.com,adventist health,sara coggins,hanford community medical center,0,05-0121,,zzt30121f,199,188,133,22419,4172,7122,3747,1572,393,5540,800,2128,47893,4491,117,1876,1417,306,105,2631,224,598,11765,199,0,0,0,0,0,47893,0,0,0,0,0,11765,0,0,0,0,0,65.90000000000001,69.8,4.1,4.1,8,1907,1150,45648,5943,22534,43984,4849,10597,62822,1951,12666,210994,95944,0,0,112017,0,14,388904,536682,3647,7819,761,351,869494350,664707837,0,204786513,1813715,207757753,-1157525,2148228,1283870,0,0,-293167,116712811,182082566,570698973,170087338,16473973,56116530,33972063,13517996,3744920,66860557,5164849,18703520,384641746,93049811,10855424,58703713,107929610,14311396,19160466,138806388,6775938,35259858,484852604,208906702,21063208,85573577,124205492,0,24554615,12752826,116495106,13081116,0,16010267,0,42064928,0,0,0,0,53857327,6134003,26151908,17064611,3208815,7440969,85816761,0,5112119,0,0,-12519,800212,0,0,34818932,16996343,68558878,0,0,0,114598,30309848,7964751,33272487,15721916,79027877,36535198,12692665,4890347,29062309,18309837,11178145,1881667,3498348,5678284,5003076,40742926,3730453,158849891,6418645,15186661,31200,224959776,32321747,0,148240533,44397496,224959776,0,115929997,-86652765,172827223,46356186,225456918,66607027,0,21101904,128628411,150088269,1847736,3106933,301591,1370,444,2579993,283709,2863702,258,2,178507,554785,674942,24406,213289,567906,276469,75467,10942,3280,653609,255968,657437,105,475920,222745,314209,0,779642,289360,674474,242,518270,249632,352082,0,2011
106301098,ahmc anaheim regional medical center,01jul2010,30jun2011,365,audited,excl. ind. audit adj.,orange,13,1012,investor,general,comparable,,(714) 774-1450,1111 west la palma avenue,anaheim,92801,donald lorack,ceo,,ahmc healthcare inc,linda marsh,ahmc healthcare inc.,0,05-0226,hsc30226f,zzt30226f,223,223,154,16271,12538,2997,8679,3085,861,9567,507,686,55191,3153,3047,712,2004,712,184,2810,123,185,12930,223,0,0,0,0,0,55191,0,0,0,0,0,12930,0,0,0,0,0,67.8,67.8,4.3,4.3,10,3004,1651,23335,25215,4611,19804,7618,1717,31394,1002,4669,119365,99288,0,0,45372,2319,3,374624,212816,2890,2830,1741,485,1189816316,1000483104,7203563,196536775,921671,193100382,4358064,128289,19058,0,0,4467295,200639064,93903405,895273847,226743861,208582374,36156076,105340735,39465157,13434112,145114132,6146972,7495528,788478947,78793466,85008304,15698087,66773563,25677134,5657286,104343266,3940274,15445989,401337369,261625893,256054667,29929102,135373985,0,62085267,16012958,199211426,24651162,0,10087246,0,5451398,6827458,376105,0,0,43174896,44363469,18703377,32307868,3057024,3078440,50245972,0,1605729,0,0,0,0,0,0,40508791,8995443,65126582,3793064,359147,0,0,21593985,8383917,32739867,11599586,69036427,22924347,2241408,455620,34052702,30264836,1464597,8109812,880114,1397934,22272585,40539499,0,7837950,2412968,0,0,50790417,36201858,0,0,14588559,50790417,9168874,210200717,-188134332,0,10555335,10555335,2717385,0,0,0,0,0,1403307,0,1052,397,1936628,260654,2197282,552,0,134205,432911,674222,9425,133705,482807,20784,39237,8338,994,729102,133851,564067,0,180426,134271,194911,0,835656,150927,641696,0,201773,147443,219787,0,2011
106010846,alameda county medical center,01jul2010,30jun2011,365,audited,incl. ind. audit adj.,alameda,5,417,city/county,general,comparable,teaching,(510) 437-4800,1411 east 31st street,oakland,94602,"wright lassiter, iii",ceo,www.acmedctr.org,county of alameda,judy bain,"toyon associates, inc.",2,05-0320,hsc00320w,zzr00320w,475,475,324,20267,763,63213,6189,10762,2939,0,5501,5722,115356,2078,118,6207,1257,2203,431,0,857,794,13945,236,80,0,50,109,0,43681,24834,0,9959,36882,0,10676,2607,0,491,171,0,66.5,66.5,8.300000000000001,5.7,20,1942,885,38281,2336,119240,33252,116030,11923,0,31504,15514,368080,89125,169307,0,123596,0,7,268084,215331,2458,2475,893,261,944474238,445691541,0,498782697,38968063,481271109,56479651,127408832,108533,0,0,183779950,371139874,159954573,413379791,96006163,7494664,284489709,41527940,105507803,30890153,0,45335064,31143351,642394847,33985336,2016926,85859303,24477164,102348890,11131842,0,26756839,15503091,302079391,35193463,6134098,227539566,44435748,-153047239,116494851,3301469,0,32394236,0,72091903,0,61153446,0,0,0,0,68516750,2288522,264555114,14437559,91361842,32520508,0,0,25102402,67739350,-1638482,31536214,578346,0,83707545,112781777,75738145,94544185,0,6687441,0,30460924,81731430,20232151,52407986,6687070,199199671,109097293,48199325,21470153,41741993,36451666,9291886,2620392,2882663,1205585,9110482,232254475,0,34257605,2919801,0,0,269431881,296925637,0,4818492,-32312248,269431881,76616254,201787443,-171515401,52164013,64422820,121037785,86780180,5666976,0,0,5666976,848484,6026273,156291796,2501,777,4743505,829542,5573047,552,121,236889,1223324,964056,136392,234485,820765,339141,417693,282202,88558,1230798,986008,607781,311792,781347,310805,514974,0,1447261,1174442,722007,334958,924325,366877,603177,0,2011
106010735,alameda hospital,01jul2010,30jun2011,365,audited,incl. ind. audit adj.,alameda,5,417,district,general,comparable,,(510) 522-3700,2070 clinton avenue,alameda,94501-4397,deborah e. stebbins,ceo,www.alamedahospital.org,city of alameda healthcare district,carlos jimenez,pacific hospital management,0,05-0211,hsc00211f,zzr00211f,161,126,100,13332,870,12352,836,0,965,1616,82,217,30270,1390,231,325,91,0,215,332,20,56,2660,100,0,0,0,61,0,10443,0,0,0,19827,0,2527,0,0,0,133,0,51.5,65.8,11.4,4.1,0,0,0,11361,2375,2380,3217,0,15831,8960,436,2695,47255,16816,10106,0,23796,0,2,58081,99020,502,1574,0,0,244187944,186278943,0,57909001,127016,67235312,-9199295,7770436,0,0,0,-1428859,84338283,35141624,124708037,80162331,10390659,33654619,4918043,0,9848518,15405216,889141,5498122,160766649,25934983,5057133,5704774,6805200,0,13839585,19762917,879320,5437383,83421295,81178066,11819202,32622108,10464697,0,0,15249873,22640460,8020061,0,1768461,0,2516015,0,0,0,0,24919248,3628590,6737285,1258546,0,8438230,12527673,0,399429,0,0,225426,54117,5775241,0,18919980,5444664,19209786,0,0,0,0,10553282,2996518,9006126,1104956,35233866,9137941,2289490,3762326,7556223,4319482,953132,837899,299881,278920,2566152,19004112,483716,5711742,2921049,0,0,28120619,17750199,0,1110286,9260134,28120619,2064823,35446216,-28197031,23980336,19250674,44607964,38896222,0,1273005,0,1888183,777897,0,0,438,149,761822,182135,943957,267,0,63823,168933,173054,20842,89332,128989,76250,6708,27180,6711,271508,54999,147710,0,142994,53416,91195,0,331760,65280,196086,0,174829,62810,113192,0,2011
106190017,alhambra hospital,01jul2010,30jun2011,365,audited,incl. ind. audit adj.,los angeles,11,913,investor,general,comparable,,(626) 570-1606,100 south raymond avenue,alhambra,91802,iris lai,ceo,,alhambra hospital medical center lp,linda marsh,ahmc healthcare inc.,0,05-0281,hsc30281f,,144,144,85,14860,2556,10234,741,0,121,1815,526,163,31016,1889,629,663,301,0,45,491,94,88,4200,101,0,0,17,26,0,17589,0,0,4054,9373,0,3910,0,0,260,30,0,59,59,7.4,5.2,0,0,0,6001,1804,2199,2699,0,611,2547,405,6284,22550,15386,0,0,8413,0,5,110559,163934,674,1664,0,0,362983409,303685838,15381921,74679492,7766106,81796644,648954,9948514,0,0,0,10597468,96716804,21269764,244996841,139766588,27591272,68339447,8372385,0,1801248,20003332,4172015,1732602,271778889,41083138,8746008,10240596,7086760,0,2646159,13881972,1472850,6047037,91204520,143098740,37730679,62929807,17983786,0,0,3694769,22588965,7265473,0,6001769,0,2391850,10656659,4725262,0,0,35621301,9263260,14390998,2200621,0,752638,11296339,0,1154335,0,-10231752,0,49109,0,0,17598183,2778145,28257495,0,0,0,0,9688445,2528606,16945564,4000206,28381405,6400290,892000,4151034,8708549,27100229,0,3979763,278699,0,1904675,25597226,0,0,0,27108919,725032,53431177,24800593,2409736,0,26220848,53431177,10419854,66358780,-58922449,0,0,0,0,0,0,0,0,0,0,0,498,232,992069,99338,1091407,194,0,61575,189515,259627,59095,107925,197590,60645,0,56097,0,445464,36291,189835,0,148405,89562,82512,0,487469,39336,206500,0,161957,98647,97498,0,2011
106010739,alta bates summit med ctr-alta bates campus,01jan2011,31dec2011,365,audited,incl. ind. audit adj.,alameda,5,415,non-profit,general,comparable,,(510) 204-4444,2450 ashby avenue,berkeley,94705,charles prosper,president/ceo,www.altabatessummit.org/,sutter health,wade h. jaeger,sutter health,0,05-0305,hsc00305f,zzr00305f,527,510,354,30811,7427,24557,15014,21,7126,38657,734,1595,125942,4775,1281,3303,2465,3,870,6274,154,299,19424,347,105,0,42,33,0,87409,18520,0,12476,7537,0,16143,2528,0,738,15,0,65.5,67.7,6.5,6.1,116,9900,7702,52236,18107,13901,12410,37,6132,112688,1699,8206,225416,43032,35715,0,105561,0,13,384780,313260,3269,4322,5366,1862,2152897304,1555586219,0,597311085,6798208,565998177,38111116,12277591,5862981,0,0,44525726,716179276,136238386,1300479642,385661494,100463001,295567088,214625683,192186,80707823,458642082,11284339,21852262,1568995958,161255496,51340062,49635715,40198237,104335,7278759,249451845,4325434,20311463,583901346,446506784,125642024,266728066,191204309,0,278022,67725869,381498144,19773198,0,19931784,0,36298019,0,0,0,0,92827303,25874739,76583746,62627355,0,19386998,320010944,-4412,4412,0,0,210601,9583376,0,0,139154989,21431797,183136286,0,0,141467,0,86095549,14627764,90807922,30602403,201494279,109580467,18853848,15562001,63913042,81351959,18601063,1448699,6629215,5413419,43150185,181213021,0,109053727,148144132,26215869,1584961,466211710,114566252,5185800,518000,345941658,466211710,32733267,342817369,-255609308,258026173,169937832,440366257,331312530,0,0,54401963,54401963,53883963,40821376,0,2020,779,3714192,672843,4387035,665,0,196174,834637,1301301,93520,196863,530760,371032,4902,29226,155777,1421522,245787,1048530,1926,623482,65620,307012,313,1711904,282303,1242318,2126,724423,74008,349640,313,2011
106010937,alta bates summit med ctr-summit campus-hawthorne,01jan2011,31dec2011,365,audited,incl. ind. audit adj.,alameda,5,417,non-profit,general,comparable,,(510) 655-4000,hawthorne ave & webster st,oakland,94609,charles prosper,president/ceo,,sutter health,wade h. jaeger,sutter health,0,05-0043,hsc00043f,,399,399,195,34664,11009,10625,3612,4,508,10523,2166,132,73243,6486,2122,1983,739,1,99,2148,454,28,14060,351,0,0,0,48,0,65077,0,0,0,8166,0,13281,0,0,0,779,0,50.3,50.3,5.2,4.9,0,0,0,39775,11076,14705,15764,47,3531,40498,1933,12962,140291,43229,9030,0,92906,0,38,580410,343155,3405,3535,0,0,1790024800,1382247130,0,407777670,59226719,448912297,18092092,8393378,4071397,0,0,22414073,403659591,140657704,1245707505,568009959,164977845,178153465,59686418,262412,14048835,250654312,36146420,2198842,1274138508,160426774,44601444,48333345,46892541,113961,11538167,159492840,5771910,38715310,515886292,585500217,178006426,184865631,97421924,0,376373,21222915,223914312,16926404,0,46213732,0,27799196,0,0,0,0,140264146,30992392,38025688,9107296,0,4241844,182798655,0,2347649,0,0,1391089,2197841,0,0,98718387,25669397,134593205,0,0,0,51711609,56009520,3582365,55444347,23183467,159346548,90658068,11003974,14492780,71003862,46501285,19964448,3465594,3776552,7335685,21363501,412302945,0,148358684,2477128,7905254,0,571044011,81090357,0,441406219,48547435,571044011,311332045,3100666078,-3032074876,382799855,137240672,542613798,394255114,0,0,443357493,443357493,1951274,0,0,1796,606,3359440,521363,3880803,687,0,209882,713454,897345,25756,222729,636522,384560,123930,114523,30739,992813,235070,715045,424522,631971,75452,253656,30911,1170187,268987,843079,467214,728409,79077,289337,34513,2011
106370652,alvarado hospital,01jan2011,31dec2011,365,audited,incl. ind. audit adj.,san diego,14,1418,investor,general,comparable,,(619) 287-3270,6655 alvarado road,san diego,92120,luis leon,ceo,www.alvaradohospital.com,"prime healthcare services, inc.",jeffrey n. brown,hospital management services,0,05-0757,hsc30583i,hsp30583i,306,264,94,16423,1924,4678,1214,1720,2276,5189,33,212,33669,3925,568,1109,417,535,343,1466,10,87,8460,256,0,0,50,0,0,30394,0,0,3275,0,0,8240,0,0,220,0,0,30.1,34.9,4,4,0,0,0,13773,1521,3533,3772,1135,3068,12403,127,5693,45025,25509,532,0,23770,0,8,295920,107520,1920,1068,0,0,577818368,449083564,0,128734804,1659172,134221733,-3827757,1104449,18125,0,0,-2741433,88660962,38833485,450323921,228377278,40986861,60644459,17038493,5654788,14859226,77328215,1418533,16257700,462565553,36454182,7155673,8503688,10228580,1508220,5885684,29360140,400399,15756249,115252815,205098748,37450468,58003350,23011305,0,0,13697874,69998637,15215201,0,2195184,0,24412797,0,0,0,0,59062948,10690066,11070797,4216768,628875,6533144,35881575,-1,650632,0,0,0,0,0,0,27879852,6935776,43580962,0,0,78999,0,17834445,3983102,17078057,16850540,54571106,11456123,384341,2553495,24539690,11962463,6319492,1930601,1032692,8050148,11421582,31392247,0,70842647,3069099,12732,0,105316725,21894803,0,74017436,9404486,105316725,2300677,42111937,-25305225,51710449,20561173,76574365,5731718,70000000,2803880,0,74017436,0,0,11439772,696,129,1325969,154948,1480917,315,0,40784,177864,192372,845,42842,70560,29278,738489,32187,748,483580,82131,367231,1877,185512,76952,128686,0,546357,91344,409946,2069,203794,85553,141854,0,2011
106370749,alvarado parkway institute bhs,01jan2011,31dec2011,365,audited,excl. ind. audit adj.,san diego,14,1422,investor,psychiatric,comparable,,(619) 465-4411,7050 parkway drive,la mesa,92042,saleem ishaque,ceo,www.alvaradoparkwayinstitute.com,helix healthcare,john r. smith,pacific hospital management,0,05-4075,,hsp34075g,66,66,66,15658,470,256,0,0,3516,2200,0,324,22424,1491,44,25,0,0,341,220,0,36,2157,0,66,0,0,0,0,0,22424,0,0,0,0,0,2157,0,0,0,0,93.09999999999999,93.09999999999999,10.4,10.4,0,0,0,87286,225,0,0,0,1054,5761,0,260,94586,0,0,0,0,0,0,0,0,0,0,0,0,54332790,30097886,0,24234904,78343,22991475,1321772,20934,161626,0,0,1181080,26754651,24814334,2763805,20729442,604895,332714,0,0,4449499,2859711,0,401613,29377874,22670135,67337,0,0,0,306247,1832282,0,78915,24954916,24226055,370834,228738,0,0,0,1534687,2698533,931624,0,107415,0,0,0,0,0,0,18810523,301398,103976,0,0,3027794,1642648,0,348565,0,0,0,0,0,0,5449938,4141111,820910,0,0,0,0,4756663,1354133,4319014,2149706,12183326,2564268,876688,0,1532115,1737374,75901,2265792,179000,59342,1517669,4550322,0,567594,91218,0,977709,6186843,2422582,0,0,3764261,6186843,867310,7045188,-4286804,95189,130332,761121,193527,0,0,0,0,0,0,129688,274,104,523342,46935,570277,82,0,41216,156242,45151,38819,131663,49261,60990,0,0,0,205723,105826,0,0,112813,34288,64420,272,223826,115138,0,0,123622,37306,70089,296,2011
106194010,american recovery center,01jul2010,30jun2011,365,audited,excl. ind. audit adj.,los angeles,11,917,non-profit,specialty,comparable,,(909) 865-2336,2180 west valley blvd,pomona,91768,booker bledsoe,administrator,,"behavioral health services, inc",meghan paustian,"behavioral health services, inc.",0,,,,156,156,156,0,0,0,0,27289,0,0,0,8082,35371,0,0,0,0,1440,0,0,0,214,1654,0,0,156,0,0,0,0,0,35371,0,0,0,0,0,1654,0,0,0,62.1,62.1,21.4,21.4,0,0,0,0,0,0,0,2922,0,0,0,1315,4237,0,0,0,0,0,0,0,0,0,0,0,0,5698539,45924,0,5652615,43504,5544913,151206,0,0,0,0,151206,5449904,248635,0,0,0,0,0,4537837,0,0,0,912067,5449904,0,0,0,0,210666,0,0,0,37969,248635,0,0,0,0,0,45924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4702579,0,0,0,950036,0,0,0,0,0,0,2089250,211511,0,0,0,0,0,1183472,290909,1170133,599638,2395445,822289,0,83867,487675,949321,160308,49989,44303,267280,284436,3815863,0,2414926,0,292580,0,6523369,4714466,0,0,1808903,6523369,1194623,606969,0,2741153,335199,4163095,1748169,0,0,0,0,0,1719045,0,62,12,113897,14856,128753,0,0,18504,8149,6957,18597,0,20193,15662,25835,0,0,66264,5774,0,0,23047,10295,8517,0,73856,6376,0,0,26195,12061,10265,0,2011
