fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,day_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,cur_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_no,year
106431013,agnews state hospital,7/1/2003,6/30/2004,366,audited,incl. ind. audit,santa clara,07,0431,state,specialty,state,,(408)451-6000,3500 zanker road,san jose,95114,harold pitchford,executive director,,state of california,gale nagato,dept of developmental services,0,05-0662,,,919,919,386,283,0,146820,0,0,48,0,0,2073,149224,0,0,58,0,0,0,0,0,2,60,24,0,0,0,895,0,1171,0,0,0,148053,0,0,0,0,0,60,0,44.4,44.4,2487.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111830812,6117216,0,105713596,0,111830812,-6117216,6117216,0,0,0,0,104590088,0,7240724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513053,0,190666,0,0,0,575,0,0,0,0,0,5412922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
106010846,alameda county medical center,7/1/2003,6/30/2004,366,audited,excl. ind. audit,alameda,05,0417,city/county,general,comparable,teaching,(510)534-8055,1411 east 31st street,oakland,94602-1018,claude watts  jr.,interim ceo,www.acmedctr.org,county of alameda,denise warmsley,toyon associates  inc.,2,05-0320,hsc00320f,zzr00320f,475,475,313,24779,422,61306,4547,7492,2884,0,8182,2085,111697,1923,76,5684,997,1479,533,0,1862,560,13114,236,80,0,50,109,0,42012,24017,0,8691,36977,0,9380,3163,0,471,100,0,64.2,64.2,8.5,5.7,20,2901,1249,30770,532,68154,18718,93157,12855,0,17506,6179,247871,82595,130354,0,51652,256,6,371674,176084,2138,1305,1056,368,500342516,112578382,0,387764134,7195149,323933479,71025804,6051702,253829,0,0,76823677,276937598,57878592,165526326,54922759,1360184,213666975,21057906,29505779,17229928,0,37660667,10201753,385605951,13592699,265065,28971211,7763227,46628806,5689915,0,9955249,1870393,114736565,47215676,187193,84815253,19452323,-115165184,5664378,10650081,0,5092878,0,47615887,0,7049897,0,0,0,0,20234240,1353389,272988117,9368810,70470207,8327093,0,29,5022249,118300882,0,0,737139,0,5161376,65494636,44124197,51846851,2156159,0,0,26510262,56931102,19641492,41682198,15546582,137744075,60699279,27471983,20800024,23374264,23070690,9427678,1833811,7719569,3065726,8726380,125398980,0,87864556,947054,0,0,214210590,284627203,278868,11652978,-82348459,214210590,23008702,99234380,-77268757,100456515,81833787,188169491,100304935,11804681,1214965,0,13019646,1366668,16749422,223362715,2168,572,4064145,683133,4747278,382,102,226038,924072,714854,201006,276320,741686,348090,407080,217704,7295,1103290,676775,520339,270403,762256,334726,396356,0,1276968,786518,619394,282217,892239,407129,482813,0,2004
106010735,alameda hospital,7/1/2003,6/30/2004,366,audited,incl. ind. audit,alameda,05,0417,district,general,comparable,,(510)522-3700,2070 clinton avenue,alameda,94501-4320,owen aurelio,administrator,www.alamedahospital.org,city of alameda healthcare district,alan mcbride,certus corporation,0,05-0211,hsc00211f,zzr00211f,135,135,135,7612,1204,7345,715,0,2524,1458,0,396,21254,1512,329,275,110,0,350,378,0,84,3038,100,0,0,0,35,0,12246,0,0,0,9008,0,2957,0,0,0,81,0,43,43,7,4.1,0,0,0,14432,1371,3111,2864,0,7015,9281,0,4706,42780,17349,0,0,27672,0,8,157671,139004,1095,2333,0,0,210406111,171931437,0,38474674,142293,52241573,-13624606,6110446,118927,0,0,-7633087,66765692,11083762,132556657,60208318,14742010,31431268,5370216,0,15953133,20134574,0,2723552,150563071,21241496,1878427,3776059,2924496,0,12251116,13064900,0,4706546,59843040,65386585,12453328,29962839,6997338,0,0,20893360,26301567,5893355,0,2366974,0,1676091,0,0,0,0,15686525,4155109,5054600,1293975,0,5885873,5432679,0,965913,0,0,140000,2861,5640446,0,12854328,2933092,15063990,0,0,0,0,8918846,3216881,7705960,1548476,21300626,12263012,776774,3495902,6460400,3058731,1952492,379253,497582,0,2056801,8842218,5994902,7871170,975444,0,0,23683734,8192045,0,2623402,12868287,23683734,1809624,29939843,-24393368,25537744,10020984,36105777,28234607,0,2623402,0,2623402,0,0,0,382,118,700094,126260,826354,214,0,70268,164083,175327,14607,56041,123818,65443,0,15619,14888,209237,37342,172720,0,130942,63673,86180,0,245518,43688,203882,0,152714,72787,107765,0,2004
106190017,alhambra hospital - alhambra,7/1/2003,6/30/2004,366,audited,excl. ind. audit,los angeles,11,0913,investor,general,comparable,,(626)570-1606,100 south raymond avenue,alhambra,91802,david chu,ceo,,alhambra limited partnership,nancy padfield,hospital management services,0,05-0281,hsc30281f,,144,144,144,19201,1358,13724,322,0,189,2169,403,3298,40664,2256,331,893,103,0,40,461,7,278,4369,101,0,0,17,26,0,26678,0,0,4633,9353,0,4091,0,0,265,13,0,77.2,77.2,9.300000000000001,7.2,0,0,0,7758,1959,3317,3374,0,1135,5813,30,2708,26094,13780,0,0,8800,0,5,98103,271470,738,6621,0,0,126331968,75337574,1368806,52363200,627844,50444188,2546856,215351,140191,0,0,2622016,38191530,3355190,84785248,57200717,4738466,28768880,1109848,0,629215,7533868,195068,4382788,104558850,7970060,1793818,2945158,1421068,0,1368170,4690786,40620,1543438,21773118,36619823,3670527,18652027,1902141,-1659295,0,1122341,8403249,2788692,0,1452096,0,2385973,659519,709287,0,0,28550954,3521276,13528394,1314566,0,875044,3821405,0,751561,0,0,2266,213085,0,0,14423644,2283707,14790428,0,0,0,0,7576105,1431036,7351883,2587385,18569143,4937266,597600,4987600,8016066,8018649,853576,2036816,572442,84679,1770351,25870388,0,0,0,0,932185,26802573,23655938,0,0,3146635,26802573,19114296,14214881,-11057696,0,0,0,0,0,0,0,0,0,0,0,429,178,878961,66918,945879,280,0,41066,175829,204462,50934,116398,203567,34625,0,32910,19170,393486,32198,185558,0,115188,59082,93449,0,421982,33666,200830,0,123190,65041,101170,0,2004
106010739,alta bates summit med ctr-alta bates cam,1/1/2004,12/31/2004,366,audited,incl. ind. audit,alameda,05,0415,non-profit,general,comparable,,(510)204-4444,2450 ashby avenue,berkeley,94705,robert petrina,cfo,www.altabates.com,sutter health,bharatha naotunne,sutter health,0,05-0305,hsc00305f,zzr00305f,543,509,509,32991,7847,50548,5200,0,42740,5423,902,786,146437,5764,1558,5494,1999,0,9420,1974,208,271,26688,337,105,0,42,59,0,91878,25095,0,10906,18558,0,22794,3178,0,637,79,0,73.7,78.59999999999999,5.5,4.8,35,14211,7803,58400,12832,15009,5666,0,136340,17947,1271,7833,255298,41748,30350,0,111973,0,13,1002234,975826,7397,9236,5833,2162,1579771517,1195015509,44035765,428791773,11732059,435102594,5421238,3919066,3146154,0,0,6194150,592975450,60795248,926000819,278889272,72399452,332786787,50885779,0,397797833,61721414,7884322,7324192,1209689051,92607160,24809692,25861620,10402773,0,174348014,32140714,1665136,8247357,370082466,301185143,93322071,304675193,39321168,0,0,336514176,92486766,17961534,0,9549458,0,0,16715328,0,0,27320437,67921304,20602401,53973214,21967384,0,235631671,28695799,0,0,0,0,415683,1548769,0,0,103933506,13848559,159754958,0,0,365692,0,57910333,10843658,69461832,18984056,134753463,84063352,11939187,18553162,42991936,106056242,14502560,1182948,5584841,5016505,10458398,86580945,860129,101001654,17808897,8127427,2300860,216679912,51284935,5307220,115763153,44324604,216679912,10748686,302071261,-236766352,181167186,122706869,316154968,215153314,0,314268,118056623,118370891,2607738,0,10387107,2062,690,3843475,747894,4591369,534,0,205616,912069,1076794,141250,220325,659835,331697,5537,226306,64046,1451976,195562,1026156,5843,682879,147456,333603,0,1787592,227360,1203534,6377,805001,172990,388515,0,2004
106010937,alta bates summit med ctr-summit-hawthor,1/1/2004,12/31/2004,366,audited,incl. ind. audit,alameda,05,0417,non-profit,general,comparable,,(510)655-4000,350 hawthorne avenue,oakland,94609-3108,warren kirk,ceo,www.altabates.com,sutter health,lisa ellis,toyon associates  inc.,0,05-0043,hsc00043f,,510,399,276,43919,9350,15961,5142,0,765,20889,1414,66,97506,8374,1657,3374,1088,0,149,4267,299,14,19222,422,17,0,0,71,0,82305,2781,0,0,12420,0,17412,689,0,0,1121,0,52.2,66.8,5.1,4.7,15,3824,1982,27329,4149,30791,11685,0,3071,34780,1653,4443,117901,39001,17768,0,46990,0,20,1021650,688875,5505,7614,1581,527,1382825306,1063740093,0,319085213,27873034,326355826,20602421,6035182,1829717,0,0,24807886,362494253,52033662,968297391,426977670,91022864,159129420,56998888,0,12943334,373504960,14523853,928744,1136029733,67946657,12141553,24185901,23619304,0,8392514,103994192,1999858,4515594,246795573,338710590,70602472,155277674,68287829,0,0,17859189,399691043,5639483,0,7671813,0,0,0,0,0,0,156213737,32561945,28037647,12330363,0,3476659,77808109,8656753,0,0,-16771763,558817,2324477,0,0,79569145,12221279,110500920,0,0,0,24000801,46529274,9213450,25999374,18321583,117317925,51586587,4171362,28136675,55981553,31866154,15689685,1628830,4200167,4712180,11064708,93159724,40854155,126442194,8401342,20624249,0,289481664,80978270,0,113407214,95096180,289481664,11348663,240483751,-193606359,289584252,91808559,401406391,274964197,0,0,99659617,118303341,4896127,0,0,1599,555,3581766,189012,3770778,549,2,187957,639823,835814,50599,271674,614268,422695,123420,409387,26129,1219572,154203,864803,280027,667214,169394,226553,0,1268124,158076,906146,340026,690224,176223,231959,0,2004
106370652,alvarado hospital medical center,1/1/2004,12/31/2004,366,audited,excl. ind. audit,san diego,14,1418,investor,general,comparable,,(619)287-3270,6655 alvarado road,san diego,92120,mark palmer,ceo,www.alvaradohospital.com,tenet healthcare corporation,trina k. thorson,tenet healthcare corporation,0,05-0583,hsc30583h,hsp40583h,311,291,291,33375,2047,5968,583,893,647,9820,390,1435,55158,5080,387,1020,92,164,97,1464,67,177,8548,231,0,0,50,30,0,41012,0,0,6763,7383,0,7383,0,0,587,578,0,48.5,51.8,6.5,6,0,0,0,65070,2266,11667,3779,1248,5277,33415,373,7344,130439,20625,59186,18175,34508,0,8,427680,377580,2907,3799,0,0,724208518,607958209,5789256,122039565,1580780,128566489,-4946144,1446189,1468324,0,0,-4968279,123007045,35289993,565911480,314392314,27946422,64585687,6092670,8773088,13037261,114382614,4974760,7651933,561836749,64657160,5309362,14961325,5308800,2548706,5887249,54023564,469355,9206248,162371769,326432585,31785718,73654510,10304050,0,10565289,12547204,119555470,9797535,0,5775674,0,7540174,3928093,0,0,1861163,52480703,4853647,5321070,931325,756505,6084477,48114712,82133,3414993,0,680008,0,43934,0,0,25956701,9964656,45577026,0,0,0,0,16943246,8367712,16545108,5212040,45704267,17790618,549148,5151190,25532503,19753764,5575063,1695649,1898565,0,4915722,23397880,0,40867785,315072,131922093,494602,196997432,13151712,0,0,183845720,196997432,0,45150641,-25910648,48071004,44085872,96376210,55508425,0,0,0,0,0,128496502,0,850,300,1632607,206114,1838721,421,0,129407,432687,440183,45231,140975,350586,16412,11682,59805,5639,549616,223413,467279,0,142791,80271,169237,0,627198,247720,526338,0,158226,89921,189318,0,2004
106370749,alvarado parkway institute bhs,1/1/2004,12/31/2004,366,audited,excl. ind. audit,san diego,14,1422,investor,psychiatric,comparable,,(619)465-4411,7050 parkway drive,la mesa,91941-1535,phyllis meagher,ceo,www.alvaradoparkwayinstitute.com,helix healthcare,jackie brewer-brown,j. brown & associates,0,05-4075,,hsp34075g,66,66,58,14124,150,77,0,0,0,5323,0,1177,20851,1393,14,5,0,0,0,581,0,109,2102,0,58,8,0,0,0,0,20851,0,0,0,0,0,2102,0,0,0,0,86.3,86.3,9.9,9.9,0,0,0,10283,48,0,0,0,0,3991,0,858,15180,0,0,0,0,0,0,0,0,0,0,0,0,29853617,15565971,0,14287646,26737,13324990,989393,140387,269762,0,0,860018,20579066,6545309,2729242,15108232,159404,111728,0,0,0,5620781,0,1219060,22219205,5257199,24986,0,0,0,0,1978374,0,373853,7634412,9868739,2732,9665,0,0,0,0,4015268,1293206,0,0,0,376361,0,0,0,0,10496692,181658,102063,0,0,0,3583887,0,-76654,0,0,0,0,0,0,3538148,958807,928939,0,0,0,0,2478672,1031185,2496643,1892596,6113678,1342434,0,475733,814530,2090332,244067,751471,174401,713907,604437,6770687,0,1321239,61790,0,977709,9131425,7793893,0,0,1337532,9131425,16792,7020832,-1037255,1352665,580749,1933414,612175,0,0,0,0,0,0,5655516,145,59,298501,18176,316677,83,0,34135,54072,27587,25377,70937,45808,16768,8714,15103,0,136558,26689,13819,0,59115,26274,31184,4862,142307,28636,14487,0,62247,29301,34582,5117,2004
106194010,american recovery center,7/1/2003,6/30/2004,366,audited,excl. ind. audit,los angeles,11,0917,non-profit,specialty,comparable,,(909)865-2336,2180 w. valley blvd.,pomona,91768-3325,jim elliot,administrator,www.bhs-inc.org/cdrh.htm,behavioral health services  inc,andrew e. worrell,behavioral health services  inc.,0,,,,156,156,156,0,0,0,0,38730,0,0,146,0,38876,0,0,0,0,1872,0,0,26,0,1898,0,0,156,0,0,0,0,0,38876,0,0,0,0,0,1898,0,0,0,68.09999999999999,68.09999999999999,20.5,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6237551,37648,0,6199903,20970,6264268,-43395,0,0,0,0,-43395,6237551,0,0,0,0,0,0,6187516,0,0,50035,0,6237551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37238,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,6150278,0,0,49625,0,0,0,0,0,0,0,2645110,0,0,0,0,0,0,1624367,236977,1230788,527026,2567446,973482,0,361375,476555,1107839,83617,30260,50674,273409,339611,3942465,0,2773843,0,1473,0,6717781,5279069,0,0,1438712,6717781,1223603,496958,0,2698933,259885,4045561,1271718,0,0,0,0,0,1347633,0,94,17,173752,22463,196215,0,0,18812,4111,10166,24525,0,23467,30298,62373,0,0,102361,0,0,0,47332,12692,11367,0,114989,0,0,0,53590,14547,13089,0,2004
106301097,anaheim general hospital,9/1/2003,8/31/2004,366,audited,excl. ind. audit,orange,13,1012,investor,general,comparable,,(714)827-6700,3350 west ball road,anaheim,92804-3710,joshua luke,ceo,,pacific health corporation,larry natsume,pacific health corporation,0,05-0173,hsc30173h,hsp30173h,143,143,143,10985,313,3401,5549,233,536,511,1024,0,22552,1747,45,591,246,47,98,118,220,0,3112,101,21,0,0,21,0,12007,3975,0,0,6570,0,2655,378,0,0,79,0,43.1,43.1,7.2,5.3,14,953,436,6913,501,1215,3669,301,1156,1536,3132,68,18491,13852,147,0,0,0,3,35862,35585,455,1102,303,132,142462564,112787374,715959,30391149,82025,35443664,-4970490,2100897,1102971,0,0,-3972564,39035993,9701915,93724656,54498458,2256519,16384097,22585695,1192989,3160316,3282445,6320748,0,109681267,11164997,520796,3840080,4113574,898809,4664264,3764998,3746866,66913,32781297,49859884,1935610,17018780,22224545,-25000,1785541,6363322,4887636,0,0,3825793,0,4911263,0,0,715959,0,15601213,840207,2880242,4295294,1003963,1458510,2149372,2162348,0,859381,0,0,1363309,0,0,10712546,1835317,9588616,0,0,0,0,3952590,1477873,4559196,3317526,16603103,4536650,462014,70211,4471408,3328865,841095,1470632,266757,259972,3132957,6871480,0,2800690,665420,363597,0,10701187,34144652,0,3340832,-26784297,10701187,0,52095747,-47174876,9400619,13546435,23356910,20556220,0,0,0,3340832,0,0,25758360,360,136,674990,77729,752719,278,0,49676,100608,157568,47923,77917,149415,90456,0,1427,0,238514,42927,138649,0,130739,59182,64979,0,267116,47016,155438,0,145935,64399,72815,0,2004
