fac_no,fac_name,beg_date,end_date,day_per,data_ind,audit_ind,county,hsa,hfpa,type_cntrl,type_care,type_hosp,teach_rurl,phone,address,city,zip_code,ceo,ceo_title,web_site,owner,rpt_prep,org_name,er_desig,mcar_pro,mcal_pro,reg_mcal,bed_lic,bed_avl,bed_stf,day_mcar_tr,day_mcar_mc,day_mcal_tr,day_mcal_mc,day_cnty,day_thrd_tr,day_thrd_mc,day_oth_ind,day_oth,day_tot,dis_mcar_tr,dis_mcar_mc,dis_mcal_tr,dis_mcal_mc,dis_cnty,dis_thrd_tr,dis_thrd_mc,dis_oth_ind,dis_oth,dis_tot,bed_acute,bed_psych,bed_chem,bed_rehab,bed_ltc,bed_resdnt,day_acute,day_psych,day_chem,day_rehab,day_ltc,day_resdnt,dis_acute,dis_psych,dis_chem,dis_rehab,dis_ltc,dis_resdnt,occ_lic,occ_avl,alos_all,alos_exltc,bas_nursry,day_nursry,dis_nursry,vis_mcar_tr,vis_mcar_mc,vis_mcal_tr,vis_mcal_mc,vis_cnty,vis_thrd_tr,vis_thrd_mc,vis_oth_ind,vis_oth,vis_tot,vis_er,vis_clin,vis_home,vis_ref_op,day_pips,op_room,op_min_ip,op_min_op,surg_ip,surg_op,nat_births,c_sections,gr_pt_rev,ded_fr_rev,tot_cap_rev,net_pt_rev,oth_op_rev,tot_op_exp,net_frm_op,nonop_rev,nonop_exp,inc_tax,ext_item,net_income,gr_rev_dly,gr_rev_amb,gr_rev_anc,gr_ip_mcar_tr,gr_ip_mcar_mc,gr_ip_mcal_tr,gr_ip_mcal_mc,gr_ip_cnty,gr_ip_thrd_tr,gr_ip_thrd_mc,gr_ip_oth_ind,gr_ip_oth,gr_ip_tot,gr_op_mcar_tr,gr_op_mcar_mc,gr_op_mcal_tr,gr_op_mcal_mc,gr_op_cnty,gr_op_thrd_tr,gr_op_thrd_mc,gr_op_oth_ind,gr_op_oth,gr_op_tot,c_adj_mcar_tr,c_adj_mcar_mc,c_adj_mcal_tr,c_adj_mcal_mc,disp_855,c_adj_cnty,c_adj_thrd_tr,c_adj_thrd_mc,bad_debt,char_hb,char_oth,sub_indgnt,ded_oth,cap_rev_mcar,cap_rev_mcal,cap_rev_cnty,cap_rev_thrd,netrv_mcar_tr,netrv_mcar_mc,netrv_mcal_tr,netrv_mcal_mc,netrv_cnty,netrv_thrd_tr,netrv_thrd_mc,netrv_oth_ind,netrv_oth,disp_trnfr,inter_tfr,contribtns,inc_invest,dist_rev,cnty_appro,exp_dly,exp_amb,exp_anc,exp_pip,exp_pop,exp_res,exp_ed,exp_gen,exp_fisc,exp_adm,exp_unassg,exp_sal,exp_ben,exp_phys,exp_othpro,exp_supp,exp_purch,exp_depre,exp_leases,exp_insur,exp_intrst,exp_oth,cur_asst,asst_limtd,net_ppe,const_prog,inv_oth,intan_asst,tot_asst,cur_liab,def_cred,net_ltdebt,equity,liab_eq,cash,accts_rec,allow_uncoll,bldgs,equipment,tot_ppe,acc_depre,mort_pay,cap_lease,bond_pay,tot_ltdebt,cur_mat,inter_rec,inter_pay,hosp_fte,nurs_fte,prod_hrs,non_prd_hr,paid_hrs,med_staff,stdnt_fte,prd_hr_mgt,prd_hr_tch,prd_hr_rn,prd_hr_lvn,prd_hr_aid,prd_hr_clr,prd_hr_env,prd_hr_oth,cnt_hr_rn,cnt_hr_oth,prd_hr_dly,prd_hr_amb,prd_hr_anc,prd_hr_ed,prd_hr_gen,prd_hr_fis,prd_hr_adm,prd_hr_non,pd_hr_dly,pd_hr_amb,pd_hr_anc,pd_hr_ed,pd_hr_gen,pd_hr_fis,pd_hr_adm,pd_hr_no,year
106431013,agnews state hospital,7/1/2004,6/30/2005,365,audited,incl. ind. audit,santa clara,07,0431,state,specialty,state,,(408)461-6000,3500 zanker road,san jose,95114,harold pitchford,executive director,,dept of developmental services,gale nagato,dept of developmental services,0,,,,919,919,350,247,0,124333,0,0,207,0,0,1989,126776,0,0,55,0,0,0,0,0,0,55,24,0,0,0,895,0,841,0,0,0,125935,0,0,0,0,0,55,0,37.8,37.8,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102555865,4917434,0,97638431,0,102555865,-4917434,4917434,0,0,0,0,95946959,0,6608906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6549,0,6253,0,0,0,0,0,0,0,0,0,4904632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
106010846,alameda county medical center,7/1/2004,6/30/2005,365,audited,excl. ind. audit,alameda,05,0417,city/county,general,comparable,teaching,(510)534-8055,1411 east 31st street,oakland,94602-1018,wright lassiter  iii,ceo,www.acmedctr.org,county of alameda,stan quan,toyon associates  inc.,2,05-0320,hsc00320g,zzr00320f,475,475,311,22317,265,55344,5736,7555,1924,0,5889,11909,110939,1946,74,5101,1089,1674,314,0,923,2703,13824,236,80,0,50,109,0,41631,24215,0,8127,36966,0,10131,3239,0,358,96,0,64,64,8,5.4,20,2933,1301,45536,663,65076,18043,86749,14291,0,9753,11502,251613,86935,128276,0,36436,339,7,389373,186664,2226,1673,1245,268,536965373,160375311,0,376590062,81692650,348673413,109609299,5712365,362106,0,0,114959558,296736805,66655893,173572675,54255139,2570773,219000627,28935859,46600875,18608415,0,24826933,23509278,418307899,16922420,316372,29363602,7986435,46593517,6525802,0,4964686,5984640,118657474,28945196,663226,103548473,26518083,-88657665,23644608,6843756,0,17033621,0,29791619,0,12044394,0,0,0,0,41712435,2223919,233473421,10404211,69549784,17449147,0,0,1777145,105753031,0,0,450454,0,5221380,74635538,46086617,60054689,3300673,0,0,27374019,58955562,17955117,44633957,15677241,131328504,67559390,29165831,31786559,29500187,27731218,14963350,2631584,1115450,4618049,8273291,109847638,0,202012124,744612,0,0,312604374,261031552,0,10294538,41278284,312604374,23507656,122846942,-96375346,225441407,86135848,317456444,115444320,10438013,1214965,0,11652978,1358440,13840262,185056391,2042,541,4015390,659539,4674929,380,105,239802,847088,678285,178341,268429,659184,327404,389970,403170,23717,1194690,700157,499090,267247,704338,286271,363597,0,1365212,807557,592718,278925,834708,351187,444622,0,2005
106010735,alameda hospital,7/1/2004,6/30/2005,365,audited,incl. ind. audit,alameda,05,0417,district,general,comparable,,(510)522-3700,2070 clinton avenue,alameda,94501-4320,kerry easthhope,associate administrator,www.alamedahospital.org,city of alameda healthcare district,ruth bolz,alameda hospital,0,05-0211,hsc00211f,zzr00211f,135,135,135,9916,1191,6590,361,0,1634,1924,154,652,22422,1543,314,210,92,0,352,430,34,121,3096,100,0,0,0,35,0,12454,0,0,0,9968,0,2990,0,0,0,106,0,45.5,45.5,7.2,4.2,0,0,0,10780,5311,2516,2975,0,6166,13671,2004,2378,45801,16950,0,0,30080,0,16,164950,145425,968,3239,0,0,221321373,176823123,0,44498250,232205,51734251,-7003796,6154081,104833,0,0,-954548,68664027,11235992,141421354,66789625,15108685,26763065,2318190,0,7098422,26020857,964836,3759622,148823302,18988403,9105403,3235153,3448110,0,9674945,22659675,2462728,2923654,72498071,67034717,20386644,26044339,5156398,0,0,11225195,35993918,822713,0,3627564,0,6531635,0,0,0,0,18735169,3827444,3163303,604352,0,5445373,12567512,0,155097,0,0,200000,0,5734321,0,12991398,2727727,14035763,0,0,0,0,8518688,2867237,8367810,2225628,21788083,12066333,1201784,3309235,4508068,2604184,2060290,426522,669709,99275,3000768,7910418,4617416,8338767,776108,0,0,21642709,8959476,0,2045416,10637817,21642709,226168,34697443,-28653359,25564289,12520220,38631558,30292791,0,2045416,0,2045416,0,0,0,370,124,684874,109167,794041,214,0,66239,155273,177845,15820,63485,115762,60295,4893,12408,12854,210553,37683,171039,0,131620,62428,71551,0,246743,43256,199338,0,149989,70378,84337,0,2005
106190017,alhambra hospital - alhambra,7/1/2004,6/30/2005,365,audited,excl. ind. audit,los angeles,11,0913,investor,general,comparable,,(626)570-1606,100 south raymond avenue,alhambra,91802,david chu,ceo,,alhambra limited partnership,robert c. perkins,hospital management services,0,05-0281,hsc30281f,,144,144,144,18853,1636,15738,455,0,96,1201,384,690,39053,2310,400,1048,134,0,19,316,43,154,4424,101,0,0,17,26,0,25901,0,0,3890,9262,0,4176,0,0,231,17,0,74.3,74.3,8.800000000000001,6.8,0,0,0,4578,1600,2288,2268,0,232,2992,231,4585,18774,13819,0,0,6618,0,5,43959,65408,680,1275,0,0,156264139,99878593,3313602,59699148,589471,54521651,5766968,78540,173173,0,0,5672335,49004064,4664204,102595871,68758266,7115206,41128590,1670970,0,434785,4870357,992773,3175042,128145989,10128793,2222672,3688040,1860481,0,1251722,6050490,126096,2789856,28118150,43457366,6086507,35891182,2818621,-2296955,0,195087,4992449,4647949,0,1118869,0,2967518,2629370,563675,0,120557,33344631,5880741,11008192,1276505,0,1491420,3879463,0,2818196,0,0,1332,77208,0,0,15669538,2566859,15290363,0,0,0,0,8180835,1682361,7989901,3141794,21706522,5948331,629500,4410032,7901311,7670348,1207794,2529728,604898,75206,1837981,21238406,0,0,0,10000000,828609,32067015,22230086,0,0,9836929,32067015,6092443,16502156,-7845604,0,0,0,0,0,0,0,0,0,0,0,477,201,953869,73672,1027541,111,0,36752,171237,245882,52837,119552,222327,40186,29767,35329,0,417006,36568,190775,0,153107,63164,93249,0,449703,38490,205192,0,162681,69533,101942,0,2005
106010739,alta bates summit med ctr-alta bates campus,1/1/2005,12/31/2005,365,audited,incl. ind. audit,alameda,05,0415,non-profit,general,comparable,,(510)204-4444,2450 ashby avenue,berkeley,94705,robert petrina,cfo,www.altabates.com,sutter health,bharatha naotunne,sutter health,0,05-0305,hsc00305f,zzr00305f,559,512,512,36884,7100,53455,7121,0,36645,4690,934,740,147569,4836,1108,6068,2804,0,10085,1617,194,254,26966,353,105,0,42,59,0,92333,27616,0,10289,17331,0,22867,3369,0,646,84,0,72.3,79,5.5,4.8,35,14687,6836,57532,12220,14222,5478,0,138233,16847,1271,7805,253608,41558,27157,0,102720,0,13,915276,810714,9648,8546,7238,362,1717590280,1289350544,45966376,474206112,16534779,461694880,29046011,2841381,3189337,0,0,28698055,653587700,65822494,998180086,327344635,78533510,413547953,74792508,0,349466319,56879535,12371726,8902290,1321838476,98413123,26578408,33727880,15960762,0,179815052,28711696,2682388,9862495,395751804,360295884,101004628,364621285,44986044,0,0,298587382,85780098,19021109,0,15054114,0,0,20142320,0,0,25824056,65205550,24249610,82654548,45767226,0,230693989,25635189,0,0,0,0,400461,49028,0,0,116380067,14274322,168216481,0,0,556535,0,61202736,10586163,73324808,17153768,146172111,89688936,15404240,18719433,42434604,113622487,15967682,1072940,4125841,3805689,10680917,82821842,850714,114623072,12413132,14225078,4226719,229160557,38190879,6885929,113078415,71005334,229160557,7984080,308241167,-241834961,196723401,133743487,345717213,231094141,0,261530,115542409,115803939,2725524,1725935,0,2077,720,3858160,751268,4609428,534,0,203685,898801,1144437,154508,198568,634341,330026,5363,230566,57865,1519551,186176,1021281,8802,664006,141148,317196,0,1862600,214740,1197821,9723,784504,165206,374834,0,2005
106010937,alta bates summit med ctr-summit-hawthorne,1/1/2005,12/31/2005,365,audited,incl. ind. audit,alameda,05,0417,non-profit,general,comparable,,(510)655-4000,350 hawthorne avenue,oakland,94609-3108,warren kirk,ceo,www.altabates.com,sutter health,matthew sur,toyon associates  inc.,0,05-0043,hsc00043f,,411,411,245,42343,8759,11872,2500,0,792,19663,2038,60,88027,7339,1387,2217,467,0,135,3517,381,11,15454,353,10,0,0,48,0,73169,2251,0,0,12607,0,13664,727,0,0,1063,0,58.7,58.7,5.7,5.2,0,0,0,28960,5058,16517,11824,0,3722,44929,2282,4609,117901,39719,14107,0,51292,0,20,1422627,1735331,5407,7642,0,0,1368337556,1064254667,0,304082889,33219919,330947057,6355751,8925401,2774724,0,0,12506428,349511996,54996013,963829547,412048712,87796618,126898011,32776584,0,12617882,366427631,21753911,660225,1060979574,88057054,14850808,28887763,27559913,0,9828826,127461549,4497710,6214359,307357982,332501758,68246466,135960263,52657991,0,0,19157226,421511460,6874584,0,27344919,0,0,0,0,0,0,167604008,34400960,18732213,7678506,0,3289482,72377720,0,0,0,-5127231,3157242,1855142,0,0,79873161,15549130,113341286,0,0,0,28128721,46361629,8933493,24533264,14226373,120363615,52870749,5854456,26946341,59543102,29880787,16649162,1629412,535921,4253420,12420092,97775202,37144367,126978555,9836197,5903444,0,277637765,81131952,0,97823528,98682285,277637765,27368304,237241202,-188230967,300075355,97517986,418907617,291929062,0,0,94795558,102992157,5168629,1827771,0,1644,525,3415421,430398,3845819,459,1,191653,623066,770045,62422,260282,604055,415860,61356,406170,20512,1211433,174550,766930,248178,631595,161381,221354,0,1335187,189409,871655,299143,713312,180955,256158,0,2005
106370652,alvarado hospital medical center,1/1/2005,12/31/2005,365,audited,excl. ind. audit,san diego,14,1418,investor,general,comparable,,(619)287-3270,6655 alvarado road,san diego,92120,mark palmer,ceo,www.alvaradohospital.com,tenet healthcare corporation,remedios h. maglaya,tenet healthcare corporation,0,05-0583,hsc30583h,hsp40583h,305,285,285,31549,2128,6898,596,1164,1676,11455,444,680,56590,4207,472,883,115,195,275,2017,78,188,8430,225,0,0,50,30,0,42485,0,0,5970,8135,0,7342,0,0,441,647,0,50.8,54.4,6.7,6.2,0,0,0,48685,1963,10236,3533,1468,6919,26591,334,5479,105208,22626,50081,3590,30560,0,8,391320,414000,2569,3882,0,0,724574042,604051227,5934744,126457559,2427976,133037693,-4152158,2411099,1299365,0,0,-3040424,125827080,32219321,566527641,296517760,27625978,72449864,7540755,11500599,16150952,114472242,4975018,9921496,561154664,58362243,5351199,13512913,5613750,2569633,8513094,54329195,656242,14511109,163419378,309378810,30672816,74524378,12091707,0,12360600,18157165,118155907,8811033,0,6110314,-4721,13793218,3320065,0,0,2614679,45308933,5606560,10782030,1041509,1709632,6346209,52160564,76023,3426099,0,0,0,3343,0,0,28804634,8824391,47894753,0,0,0,0,16986701,7826159,16808972,5892083,47504074,18291013,481426,6327989,26559903,21398251,5817859,1654725,881962,0,4120491,24699568,0,42876076,1042288,124566710,329919,193514561,13286089,161371,0,180067101,193514561,0,58073460,-36201052,48612097,51036244,103867675,60991599,0,0,0,0,0,120124023,0,814,293,1575121,186473,1761594,421,0,130664,425730,444711,41026,124056,310121,14425,15252,67136,2000,542367,189663,457692,0,136994,72938,175467,0,616913,209272,509008,0,149989,81928,194484,0,2005
106370749,alvarado parkway institute bhs,1/1/2005,12/31/2005,365,audited,excl. ind. audit,san diego,14,1422,investor,psychiatric,comparable,,(619)465-4411,7050 parkway drive,la mesa,91941-1535,roy rodriguez,ceo,http://alvaradoparkwayinstitute.com,helix healthcare,loretta masi,pacific hospital management,0,05-4075,,hsp34075g,66,66,66,15362,269,273,0,0,2115,2382,0,1067,21468,1640,29,29,0,0,226,254,0,114,2292,0,66,0,0,0,0,0,21468,0,0,0,0,0,2292,0,0,0,0,89.09999999999999,89.09999999999999,9.4,9.4,0,0,0,27793,91,68,0,0,546,5612,0,741,34851,0,0,0,0,0,0,0,0,0,0,0,0,40256096,22252370,0,18003726,64719,18094800,-26355,124309,0,0,0,97954,21335666,16084251,2836179,17589379,289931,283951,0,0,2174245,2549430,0,1095127,23982063,14291590,30314,34394,0,0,183644,1505067,0,229024,16274033,17451077,273941,213238,0,0,0,1316974,2243432,570192,0,88136,0,95380,0,0,0,0,13978326,41768,100598,0,0,1007518,1753636,0,1121880,0,0,0,0,0,0,4289024,2962550,605182,0,0,0,0,3333344,1342186,3539664,2022850,8677334,2151124,0,13854,1078685,2221494,289959,1811284,195963,327030,1328073,4133619,0,1358353,0,0,977708,6469680,5648406,0,0,821274,6469680,277572,6694827,-3270071,1404433,856057,2260490,902137,0,0,0,0,0,0,2299485,207,87,425664,5452,431116,82,0,25325,111139,49076,41424,90386,56347,48107,3427,433,0,171985,81827,0,0,86620,34967,50265,0,173908,83299,0,0,87648,35474,50787,0,2005
106194010,american recovery center,7/1/2004,6/30/2005,365,audited,excl. ind. audit,los angeles,11,0917,non-profit,specialty,comparable,,(909)865-2336,2180 w. valley blvd.,pomona,91768-3325,booker bledsoe,administrator,,behavioral health services  inc,andrew e. worrell,behavioral health sciences  inc.,0,,,,156,156,156,0,0,0,0,33059,0,0,38,0,33097,0,0,0,0,1631,0,0,6,0,1637,0,0,156,0,0,0,0,0,33097,0,0,0,0,0,1637,0,0,0,58.1,58.1,20.2,20.2,0,0,0,0,0,0,0,5424,0,0,0,0,5424,0,0,0,0,0,0,0,0,0,0,0,0,5718118,136183,0,5581935,27689,5766450,-156826,0,0,0,0,-156826,5351959,366159,0,0,0,0,0,5332661,0,0,19298,0,5351959,0,0,0,0,366159,0,0,0,0,366159,0,0,0,0,0,40699,0,0,95484,0,0,0,0,0,0,0,0,0,0,0,0,5562637,0,0,19298,0,0,0,0,0,0,0,2183461,256183,0,0,0,0,0,1489721,212423,1107569,517093,2426538,870949,0,356989,440809,908783,84651,30851,53328,263575,329977,3297815,0,2742547,0,487715,0,6528077,5246191,0,0,1281886,6528077,977909,539727,0,2698933,305593,4091269,1348722,0,0,0,0,0,1039819,0,79,14,143205,21043,164248,0,0,19486,1722,8461,20030,0,21223,22306,49977,0,0,75035,11491,0,0,36743,10706,9230,0,85133,12910,0,0,42603,12677,10925,0,2005
106301097,anaheim general hospital,9/1/2004,8/31/2005,365,audited,excl. ind. audit,orange,13,1012,investor,general,comparable,,(714)827-8700,3350 west ball road,anaheim,92804-3710,joshua luke,ceo,,pacific health corporation,larry natsume,pacific health corporation,0,05-0173,hsc30173h,hsp30173h,143,143,126,12765,209,2451,7367,337,353,515,1267,7,25271,1822,31,601,200,70,80,110,273,1,3188,101,21,0,0,21,0,11550,6602,0,0,7119,0,2588,571,0,0,29,0,48.4,48.4,7.9,5.7,14,1086,518,7523,318,1021,2959,300,857,1262,2553,154,16947,11842,15,0,0,0,3,27800,30068,461,873,373,150,177658586,144155835,0,33502751,77100,35434998,-1855147,1093017,925613,0,0,-1687743,52140637,10866546,114651403,67855909,2020860,15278810,40406258,2074783,2375222,4121322,8700336,35442,142868942,12883105,426236,4244716,3991587,1265011,3401464,4422604,4071044,83877,34789644,62579297,1271679,16977594,39254359,0,2395175,4641746,6565886,0,0,10350780,0,119319,0,0,0,0,18089416,1129560,2523947,5101052,944619,953708,1965560,2794889,0,0,0,0,570892,0,0,11830005,2049389,9681768,0,0,0,0,4225756,1492243,4799318,1356519,18098653,4378561,164599,765698,4603126,3146745,634981,1547518,424991,418953,1251173,7780257,0,2351937,930837,276675,0,11339706,36308958,0,3707957,-28677209,11339706,91443,49951566,-44457717,9428467,13651204,23489527,21137590,0,0,0,3707957,0,0,28306565,379,149,702157,89605,791762,259,0,36737,118919,163661,56697,88966,141811,92829,0,2537,0,273778,50858,136782,0,128555,53931,58253,0,315466,54885,155808,0,140862,59217,65524,0,2005
