OSHPD_ID,FAC_NAME,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,County Name,HEALTH_SVC_AREA,LIC_CAT,LICEE_TOC,PARENT_NAME,TYPE_SVC_PRINCIPAL,TEACH_HOSP,HOSP_BED_LIC_TOTL,FAC_ADDRESS_1,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,CHEM_PSY_BED_LIC,PSY_PROG_SHDOYL,MED_SURG_BED_LIC,MED_SURG_DIS,MED_SURG_CENS_DAY,MED_SURG_LICBED_DAY,PERINATL_BED_LIC,PERINATL_DIS,PERINATL_CENS_DAY,PERINATL_LICBED_DAY,PED_BED_LIC,PED_DIS,PED_CENS_DAY,PED_LICBED_DAY,ICU_BED_LIC,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,ICU_LICBED_DAY,CCU_BED_LIC,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,CCU_LICBED_DAY,RESP_BED_LIC,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,RESP_LICBED_DAY,BURN_BED_LIC,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,BURN_LICBED_DAY,NICU_BED_LIC,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,NICU_LICBED_DAY,REHAB_BED_LIC,REHAB_DIS,REHAB_CENS_DAY,REHAB_LICBED_DAY,GAC_BED_LIC_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_DIS,CHEM_CENS_DAY,CHEM_LICBED_DAY,PSY_BED_LIC,PSY_DIS,PSY_CENS_DAY,PSY_LICBED_DAY,SN_BED_LIC,SN_DIS,SN_CENS_DAY,SN_LICBED_DAY,IC_BED_LIC,IC_DIS,IC_CENS_DAY,IC_LICBED_DAY,HOSP_BED_LIC_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,HOSP_LICBED_DAY_TOTL,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_GAC_BED_LIC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,PTBV_BALLOON,THROMBO_AGT,CATH_OTHR,CATH_TOTL,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,births_all other,NEWBORN_NURSRY_CENS_DAY,SURG_IP,OR_MIN_IP,SURG_OP,OR_MIN_OP,AMB_SURG_PROG,OR_TOTL,OR_OP_ONLY,OR_IP_AND_OP,OR_IP_ONLY,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_non-GAC,EMS_GAC None,EMS_Standby,EMS_Basic,EMS_Comp,EMSA_Trauma Ctr,EMS_NONURGENT_CPT_99281_TOTL_VIS,EMS_NONURGENT_CPT_99281_ADM_VIS,EMS_URGENT_CPT_99282_TOTL_VIS,EMS_URGENT_CPT_99282_ADM_VIS,EMS_MODER_CPT_99283_TOTL_VIS,EMS_MODER_CPT_99283_ADM_VIS,EMS_SEVERE_CPT_99284_TOTL_VIS,EMS_SEVERE_CPT_99284_ADM_VIS,EMS_CRITICAL_CPT_99285_TOTL_VIS,EMS_CRITICAL_CPT_99285_ADM_VIS,EMS_VIS_TOTL,EMS_ADM_VIS_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_CLOSURE_AMB_DIVERS,EMS_CLOSED_JAN_HOURS,EMS_CLOSED_FEB_HOURS,EMS_CLOSED_MAR_HOURS,EMS_CLOSED_APR_HOURS,EMS_CLOSED_MAY_HOURS,EMS_CLOSED_JUN_HOURS,EMS_CLOSED_JUL_HOURS,EMS_CLOSED_AUG_HOURS,EMS_CLOSED_SEP_HOURS,EMS_CLOSED_OCT_HOURS,EMS_CLOSED_NOV_HOURS,EMS_CLOSED_DEC_HOURS,EMS_CLOSED_TOTL_HOURS,EMSA_TRAUMA_CTR_DESIG,Level I-Trauma,Level II-Trauma,Level III-Trauma,Level IV-Trauma,EMSA_TRAUMA_PEDS_CTR_DESIG,Level I - ped,Level II - ped,Level III - ped,Level IV - ped,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,Level I ems visits,Level II ems visits,Level III ems visits,Level IV ems visits,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,Jan hours open per month,Feb hours open per month,March hours open per month,April hours open per month,May hours open per month,June hours open per month,July hours open per month,Aug hours open per month,Sept hours open per month,Oct hours open per month,Nov hours open per month,Dec hours open per month,MED_SVC_STUDY_AREA,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MSSA_Name,MSSA_Designt_Type,Non-Responder,Not in Operation,State Hospital,Non Trauma Center,Non Trauma Ctr # of Visits,Bed Size Range,ATHERECTOMY_PTCRA_ABLATION
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,1/1/03,12/31/03,Licensed,,"July 1, 1953",Alameda,05 - East Bay,General Acute Care,City and/or County,,Long-Term Care (SN/IC),NO,159,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4599,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,354,7815,18250,50,354,7815,18250,0,0,0,0,0,0,0,0,109,95,37038,39785,0,0,0,0,159,449,44853,58035,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2f,71,143,9,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,No,No,No,1,0,150 - 199,0
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1/1/03,12/31/03,Licensed,,"July 1, 1953",Alameda,05 - East Bay,General Acute Care,City and/or County,none,General Medical / Surgical,YES,316,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4599,0,0,0,0,0,0,0,Yes,191,6316,26395,69715,17,1714,4468,6205,0,0,0,0,20,853,2155,9900,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,212,59,1240,2920,0,0,0,0,236,9095,42003,86140,0,0,0,0,80,3694,26144,29200,0,0,0,0,0,0,0,0,316,12789,68147,115340,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,110,46,0,0,0,0,373,1111,2850,2116,797686,1267,303911,Yes,6,0,6,0,Basic,Basic,0,0,0,1,0,1,5691,0,9959,0,14262,0,6258,0,2845,0,39015,0,29,0,10605,1,36,21,45,25,44,67,65,62,70,64,65,81,645,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39015,0,0,1,0,744,672,744,720,744,720,744,744,720,744,720,744,2c,69,142,9,Oakland West Central,Urban,No,No,No,0,0,300 - 499,0
106010735,ALAMEDA HOSPITAL,1/1/03,12/31/03,Licensed,,"January 1, 1946",Alameda,05 - East Bay,General Acute Care,District,,General Medical / Surgical,NO,135,2070 CLINTON,ALAMEDA,94501,510-522-3700,0,0,0,0,0,0,0,No,84,2827,10882,30660,0,0,0,0,0,0,0,0,8,166,367,1324,2920,8,0,0,0,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2993,12206,36500,0,0,0,0,0,0,0,0,35,96,7987,12775,0,0,0,0,135,3089,20193,49275,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,157533,1684,92477,Yes,8,0,8,0,Basic,Basic,0,0,0,1,0,0,375,1,3441,0,6786,3,3923,676,2783,1540,17308,2220,12,2922,44,1,28,2,6,30,0,0,15,0,0,8,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,672,744,720,744,720,744,744,720,744,720,744,2e,69,142,13,Alameda/Jack London Square/Oakland Inner Harbor,Urban,No,No,No,1,17308,100 - 149,0
106190017,ALHAMBRA HOSPITAL,1/1/03,12/31/03,Licensed,,"January 1, 1946",Los Angeles,11 - Los Angeles,General Acute Care,Investor - Partnership,,General Medical / Surgical,NO,144,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,626-458-4770,0,0,0,0,0,0,0,No,88,3866,22552,32120,0,0,0,0,0,0,0,0,6,71,419,1300,2190,7,83,481,2188,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,266,4483,6205,118,4286,30523,43070,0,0,0,0,0,0,0,0,26,12,9382,9490,0,0,0,0,144,4298,39905,52560,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,38001,1501,64471,Yes,5,0,5,0,Basic,Basic,0,0,0,1,0,0,1255,0,8867,2067,519,315,134,129,28,23,10803,2534,3,1255,64,1,148,165,118,36,59,79,97,74,70,45,87,337,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,744,672,744,720,744,720,744,744,720,744,720,744,78.2eeee,102,155,29,Alhambra/El Sereno South/San Gabriel Central,Urban,No,No,No,1,10803,100 - 149,0
106010844,ALTA BATES SUMMIT MED CTR - HERRICK CAMPUS,1/1/03,12/31/03,Licensed,,"January 1, 1946",Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,Psychiatric,NO,206,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,574,10690,15330,42,574,10690,15330,0,0,0,0,105,3143,25885,38325,59,28,18514,21535,0,0,0,0,206,3745,55089,75190,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2a,67,142,9,Berkeley South and West/Emeryville/Oakland Northwest,Urban,No,No,No,1,0,200 - 299,0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/03,12/31/03,Licensed,,"January 2, 1946",Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,342,2450 ASHBY STREET,BERKELEY,94705,510-869-6199,0,0,0,0,0,0,0,No,176,6849,44950,64240,75,8182,22650,27375,0,0,0,0,16,215,827,3910,5840,14,218,667,2549,5110,0,0,0,0,0,6,0,0,0,2190,55,989,117,19241,20075,0,0,0,0,342,16453,93300,124830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,16453,93300,124830,0,0,0,CV SURG,0,0,0,0,2355,0,2355,0,2,0,0,0,0,379,338,125,15,504,353,209,0,79,0,0,65,353,7206,557,146,1,1,0,5220,1981,5,12365,4138,555240,6927,500400,Yes,13,0,13,0,Basic,Basic,0,0,0,1,0,0,3878,63,15483,168,12227,1369,7184,3443,3666,3496,42438,8539,22,0,1649,1,5,8,10,3,21,0,9,5,18,1,7,10,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,744,672,744,720,744,720,744,744,720,744,720,744,2b,67,142,9,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,No,No,No,1,42438,300 - 499,0
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/03,12/31/03,Licensed,,"January 1, 1946",Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,342,350 HAWTHORNE AVENUE,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,273,14700,68180,99645,25,3475,8353,9125,0,0,0,0,24,364,1910,7186,8760,12,18,1026,1754,4380,0,0,0,0,0,0,0,0,0,0,8,383,99,1878,2920,0,0,0,0,342,18940,87351,124830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,18940,87351,124830,0,0,0,CV SURG,4,0,0,396,9153,396,9153,855,4,0,0,0,0,2211,2835,1137,95,3348,2930,373,0,1324,4,0,1229,2930,3280,215,14,1,1,0,2653,624,3,5889,4617,859854,1784,170647,Yes,12,0,12,0,Basic,Basic,0,0,0,1,0,0,3699,458,15539,3927,16075,3386,3342,734,493,336,39148,8841,31,6211,1865,1,42,20,44,24,32,21,4,17,20,25,15,36,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,744,672,744,720,744,720,744,744,720,744,720,744,2m,69,142,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,39148,300 - 499,0
106013626,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,1/1/03,12/31/03,Licensed,,"January 1, 1946",Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,192,3100 SUMMIT STREET,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,104,222,358,37960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,222,358,37960,0,0,0,0,17,246,3634,6205,71,914,9931,25915,0,0,0,0,192,1382,13923,70080,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,12257,2244,187242,Yes,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2m,69,142,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,0,150 - 199,0
106370652,ALVARADO HOSPITAL MEDICAL CENTER,1/1/03,12/31/03,Licensed,,"August 11, 1972",San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenethealth Corporation,General Medical / Surgical,NO,231,6655 ALVARADO ROAD,SAN DIEGO,92120-5298,619-287-3270,0,0,0,0,0,0,0,No,186,11975,46818,70458,12,306,663,1812,0,0,0,0,18,93,1004,2514,6570,10,93,502,1257,3650,0,0,0,0,0,0,0,0,0,0,5,13,26,71,1825,0,1184,16077,0,231,13664,67400,84315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,13664,67400,84315,0,0,0,CV SURG,1,0,0,115,0,115,0,115,2,0,0,0,0,72,141,84,193,156,334,133,193,575,0,0,90,1000,307,0,0,0,0,0,0,77,230,499,3741,596700,3991,374288,Yes,18,5,13,0,Basic,Basic,0,0,0,1,0,0,769,0,10954,0,3354,0,5151,0,0,0,20228,0,12,0,0,1,224,320,346,307,361,302,329,347,369,41,45,77,3068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,744,672,744,720,744,720,744,744,720,744,720,744,161e,131,172,,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,20228,200 - 299,9
106374063,ALVARADO HOSPITAL MEDICAL CENTER/SDRI,1/1/03,12/31/03,Licensed,,"June 7, 1990",San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenethealth Corporation,Physical Rehabilitation,NO,80,6645 ALVARADO ROAD,SAN DIEGO,92120,619-287-3270,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1184,16077,18250,50,1184,16077,18250,0,0,0,0,0,0,0,0,30,0,0,10950,0,0,0,0,80,1184,16077,29200,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161e,131,172,,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,0,50 - 99,0
