OSHPD_ID,FAC_NAME,BEG_DATE,END_DATE,LIC_STATUS,LIC_STATUS_DATE,LIC_ORIG_DATE,County Name,HEALTH_SVC_AREA,LIC_CAT,LICEE_TOC,PARENT_NAME,TYPE_SVC_PRINCIPAL,TEACH_HOSP,HOSP_BED_LIC_TOTL,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,FAC_PHONE,HOSPICE_PROG,HOSPICE_CLASS_GAC_BED,HOSPICE_CLASS_SN_BED,HOSPICE_CLASS_IC_BED,CHEM_PSY_DIS,CHEM_PSY_CENS_DAY,CHEM_PSY_BED_LIC,PSY_PROG_SHDOYL,MED_SURG_BED_LIC,MED_SURG_DIS,MED_SURG_CENS_DAY,MED_SURG_LICBED_DAY,PERINATL_BED_LIC,PERINATL_DIS,PERINATL_CENS_DAY,PERINATL_LICBED_DAY,PED_BED_LIC,PED_DIS,PED_CENS_DAY,PED_LICBED_DAY,ICU_BED_LIC,ICU_DIS,ICU_TFR_INHOSP,ICU_CENS_DAY,ICU_LICBED_DAY,CCU_BED_LIC,CCU_DIS,CCU_TFR_INHOSP,CCU_CENS_DAY,CCU_LICBED_DAY,RESP_BED_LIC,RESP_DIS,RESP_TFR_INHOSP,RESP_CENS_DAY,RESP_LICBED_DAY,BURN_BED_LIC,BURN_DIS,BURN_TFR_INHOSP,BURN_CENS_DAY,BURN_LICBED_DAY,NICU_BED_LIC,NICU_DIS,NICU_TFR_INHOSP,NICU_CENS_DAY,NICU_LICBED_DAY,REHAB_BED_LIC,REHAB_DIS,REHAB_CENS_DAY,REHAB_LICBED_DAY,GAC_BED_LIC_SUBTOTL,GAC_DIS_SUBTOTL,GAC_CENS_DAY_SUBTOTL,GAC_LICBED_DAY_SUBTOTL,CHEM_BED_LIC,CHEM_DIS,CHEM_CENS_DAY,CHEM_LICBED_DAY,PSY_BED_LIC,PSY_DIS,PSY_CENS_DAY,PSY_LICBED_DAY,SN_BED_LIC,SN_DIS,SN_CENS_DAY,SN_LICBED_DAY,IC_BED_LIC,IC_DIS,IC_CENS_DAY,IC_LICBED_DAY,HOSP_BED_LIC_TOTL,HOSP_DIS_TOTL,HOSP_CENS_DAY_TOTL,HOSP_LICBED_DAY_TOTL,CHEM_GAC_DIS,CHEM_GAC_CENS_DAY,CHEM_GAC_BED_LIC,LICENSURE_CVSURG_SVCS,CVSURG_LIC_OP_RM,CVSURG_WITH_ECBPASS_PED,CVSURG_WITHOUT_ECBPASS_PED,CVSURG_WITH_ECBPASS_ADLT,CVSURG_WITHOUT_ECBPASS_ADLT,CVSURG_WITH_ECBPASS_TOTL,CVSURG_WITHOUT_ECBPASS_TOTL,CVSURG_CABG_TOTL,CATH_CARD_RM,CATH_IP_PED_DX_VIS,CATH_IP_PED_THER_VIS,CATH_OP_PED_DX_VIS,CATH_OP_PED_THER_VIS,CATH_IP_ADLT_DX_VIS,CATH_IP_ADLT_THER_VIS,CATH_OP_ADLT_DX_VIS,CATH_OP_ADLT_THER_VIS,CATH_DX_VIS_TOTL,CATH_THER_VIS_TOTL,PACEMKR_PERM_IMPL,PTCA_ANGIOPLASTY_WITH_STENT,PTCA_ANGIOPLASTY_WITHOUT_STENT,PTBV_BALLOON,THROMBO_AGT,CATH_OTHR,CATH_TOTL,BIRTHS_LIVE_TOTL,BIRTHS_LIVE_<5LBS_8OZ,BIRTHS_LIVE_<3LBS_5OZ,ABC_PROG,ABC_LDR,ABC_LDRP,BIRTHS_LIVE_ABC,BIRTHS_LIVE_C_SEC,births_all other,NEWBORN_NURSRY_CENS_DAY,SURG_IP,OP_RM_MIN_IP,SURG_OP,OP_RM_MIN_OP,AMB_SURG_PROG,OP_RM_TOTL,OP_RM_OP_ONLY,OP_RM_IP_AND_OP,OP_RM_IP_ONLY,ED_LIC_LEVL_BEGIN,ED_LIC_LEVL_END,EMS_non-GAC,EMS_GAC None,EMS_Standby,EMS_Basic,EMS_Comp,EMSA_Trauma Ctr,EMS_MINOR_CPT_99281_TOTL_VIS,EMS_MINOR_CPT_99281_ADM_VIS,EMS_LOW/MODERATE_CPT_99282_TOTL_VIS,EMS_LOW/MODERATE_CPT_99282_ADM_VIS,EMS_MODERATE_CPT_99283_TOTL_VIS,EMS_MODERATE_CPT_99283_ADM_VIS,EMS_SEVERE_W/O_THREAT_CPT_99284_TOTL_VIS,EMS_SEVERE_W/O_THREAT_CPT_99284_ADM_VIS,EMS_SEVERE_W_THREAT_CPT_99285_TOTL_VIS,EMS_SEVERE_W_THREAT_CPT_99285_ADM_VIS,EMS_VIS_TOTL,EMS_ADM_VIS_TOTL,EMS_STATION,EMS_NON_EMERG_VIS,EMS_REGISTERS_NO_TREAT,EMS_CLOSURE_AMB_DIVERS,EMS_CLOSED_JAN_HOURS,EMS_CLOSED_FEB_HOURS,EMS_CLOSED_MAR_HOURS,EMS_CLOSED_APR_HOURS,EMS_CLOSED_MAY_HOURS,EMS_CLOSED_JUN_HOURS,EMS_CLOSED_JUL_HOURS,EMS_CLOSED_AUG_HOURS,EMS_CLOSED_SEP_HOURS,EMS_CLOSED_OCT_HOURS,EMS_CLOSED_NOV_HOURS,EMS_CLOSED_DEC_HOURS,EMS_CLOSED_TOTL_HOURS,EMSA_TRAUMA_CTR_DESIG,Level I-Trauma,Level II-Trauma,Level III-Trauma,Level IV-Trauma,EMSA_TRAUMA_PEDS_CTR_DESIG,Level I - ped,Level II - ped,Level III - ped,Level IV - ped,IC_DEV_DISBL_BED_LIC,IC_DEV_DISBL_LICBED_DAY,IC_DEV_DISBL_DIS,IC_DEV_DISBL_CENS_DAY,Level I ems visits,Level II ems visits,Level III ems visits,Level IV ems visits,ED_OP_RM_AVAIL24HRS,ED_OP_RM_AVAIL_ON_CALL,Jan hours open per month,Feb hours open per month,March hours open per month,April hours open per month,May hours open per month,June hours open per month,July hours open per month,Aug hours open per month,Sept hours open per month,Oct hours open per month,Nov hours open per month,Dec hours open per month,MED_SVC_STUDY_AREA,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,MSSA English Name,MSSA Designt. Type,Non-Responder,Not in Operation,State Hospital,Non Trauma Center,Non Trauma Ctr # of Visits,Bed Size Range,ATHERECTOMY_PTCRA_ABLATION
706431013,AGNEWS STATE HOSPITAL,1/1/06,12/31/06,Open,8/29/75,8/29/75,Santa Clara,07 - Santa Clara,General Acute Care,State,Departmental of Developmental Services,Developmentally Disabled,NO,919,3500 ZANKER ROAD,SAN JOSE,95134-2299,408-451-6000-6278,0,0,0,0,0,0,0,No,16,2,145,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,145,5840,0,0,0,0,0,0,0,0,362,11,1925,132130,0,0,0,0,919,51,8552,335435,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,197465,38,6482,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,183o,22,10,16,Milpitas West/Santa Clara Northeast,Urban,No,No,Yes,1,0,500+,0
106010811,ALAMEDA CO MED CTR - FAIRMONT CAMPUS,1/1/06,12/31/06,Open,7/1/53,7/1/53,Alameda,05 - East Bay,General Acute Care,City and/or County,None,Long-Term Care (SN/IC),NO,159,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,510-437-4580,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,307,7677,18250,50,307,7677,18250,0,0,0,0,0,0,0,0,109,60,37321,39785,0,0,0,0,159,367,44998,58035,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2f,18,10,9,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,Urban,No,No,No,1,0,150 - 199,0
106010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1/1/06,12/31/06,Open,7/1/53,7/1/53,Alameda,05 - East Bay,General Acute Care,City and/or County,None,General Medical / Surgical,YES,316,1411 EAST 31ST STREET,OAKLAND,94602,510-437-4800,0,0,0,0,0,0,0,No,191,7788,33201,69715,17,1829,4517,6205,0,0,0,0,20,242,970,5757,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,260,88,1255,2920,0,0,0,0,236,10119,44730,86140,0,0,0,0,80,3137,23072,29200,0,0,0,0,0,0,0,0,316,13256,67802,115340,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,91,7,No,0,0,0,372,1262,3083,2368,901272,1745,307234,Yes,7,0,7,0,Basic,Basic,0,0,0,1,0,1,10234,0,15659,0,16871,0,7227,0,10234,0,60225,0,52,0,12389,1,31,65,0,31,4,29,7,16,19,15,4,8,229,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60225,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744,2c,16,9,9,Oakland West Central,Urban,No,No,No,0,0,300 - 499,0
106010735,ALAMEDA HOSPITAL,1/1/06,12/31/06,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,District,,General Medical / Surgical,NO,135,2070 CLINTON,ALAMEDA,94501,510-522-3700,0,0,0,0,0,0,0,No,84,3332,13672,30660,0,0,0,0,0,0,0,0,8,151,281,1581,2920,8,0,0,0,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3483,15253,36500,0,0,0,0,0,0,0,0,35,105,9721,12775,0,0,0,0,135,3588,24974,49275,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,No,0,0,0,0,2,0,1112,143229,4483,305728,Yes,6,1,5,0,Basic,Basic,0,0,0,1,0,0,306,0,2684,3,6915,18,4750,387,3851,2136,18506,2544,12,0,123,1,3,16,4,0,4,0,3,11,12,2,2,22,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744,2e,16,9,13,Alameda/Jack London Square/Oakland Inner Harbor,Urban,No,No,No,1,18506,100 - 149,0
106190017,ALHAMBRA HOSPITAL,1/1/06,12/31/06,Open,1/1/46,1/1/46,Los Angeles,11 - Los Angeles,General Acute Care,Investor - Partnership,"AHMC, INC.",General Medical / Surgical,NO,144,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,626-458-4781,0,0,0,0,0,0,0,No,88,3775,20635,32120,0,0,0,0,0,0,0,0,6,96,435,1506,2190,7,111,501,1711,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,233,3740,6205,118,4215,27592,43070,0,0,0,0,0,0,0,0,26,19,9211,9490,0,0,0,0,144,4234,36803,52560,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,636,36923,1758,70507,Yes,5,0,5,0,Basic,Basic,0,0,0,1,0,0,2478,0,7041,2199,546,511,230,201,24,18,10319,2929,3,161,334,1,462,315,294,63,47,74,45,62,63,54,53,95,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744,78.2eeee,49,22,29,Alhambra/El Sereno South/San Gabriel Central,Urban,No,No,No,1,10319,100 - 149,0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/06,12/31/06,Open,1/2/46,1/2/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,347,2450 ASHBY STREET,BERKELEY,94705,510-204-6199,0,0,0,0,0,0,0,No,146,9373,43472,53290,116,8077,40727,42340,0,0,0,0,16,413,1087,6123,5840,14,0,0,0,5110,0,0,0,0,0,0,0,0,0,1638,55,823,66,17922,20075,0,0,0,0,347,18686,108244,128293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,18686,108244,128293,0,0,0,CATH LAB,0,0,0,0,0,0,0,0,2,0,0,0,0,94,69,52,0,146,69,92,57,12,0,0,45,206,7643,752,174,Yes,1,0,5426,2212,5,15521,3261,418980,5031,354120,Yes,13,0,13,0,Basic,Basic,0,0,0,1,0,0,2823,6,15197,163,13311,1708,6593,2775,2275,1477,40199,6129,22,2817,2412,1,15,11,0,4,8,0,5,12,0,11,3,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744,2b,14,9,9,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,No,No,No,1,40199,300 - 499,0
106010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,1/1/06,12/31/06,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,Psychiatric,NO,206,2001 DWIGHT WAY,BERKELEY,94704,510-869-6199,0,0,0,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,649,10526,15330,42,649,10526,15330,0,0,0,0,105,2706,25861,38325,59,25,16339,21535,0,0,0,0,206,3380,52726,75190,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2a,14,9,9,Berkeley South and West/Emeryville/Oakland Northwest,Urban,No,No,No,1,0,200 - 299,0
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/06,12/31/06,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,337,350 HAWTHORNE AVENUE,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,301,13532,65261,109865,0,0,0,0,0,0,0,0,24,274,1266,7861,8760,12,27,892,1667,4380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,13833,74789,123005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,13833,74789,123005,0,0,0,CV SURG,4,0,0,584,427,584,427,762,5,0,0,0,0,1199,1518,1276,0,2475,1518,158,1105,88,9,0,150,1518,0,0,0,No,0,0,0,0,0,0,3806,766860,2217,210590,Yes,12,0,12,0,Basic,Basic,0,0,0,1,0,0,3627,43,13971,521,14259,3607,6606,3113,1157,664,39620,7948,36,6863,2453,1,15,14,6,0,9,1,7,5,2,15,0,5,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YES,,744,672,744,720,744,720,744,744,720,744,720,744,2m,16,9,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,39620,300 - 499,8
106013626,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT,1/1/06,12/31/06,Open,1/1/46,1/1/46,Alameda,05 - East Bay,General Acute Care,Non-Profit Corporation (incl. Church-related),Sutter Health,General Medical / Surgical,NO,172,3100 SUMMIT STREET,OAKLAND,94609,510-869-6199,0,0,0,0,0,0,0,No,84,55,102,32500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,55,102,32500,0,0,0,0,17,0,0,6205,71,1163,11161,25915,0,0,0,0,172,1218,11263,64620,0,0,0,NEITHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,2190,192130,Yes,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,2m,16,9,9,Dimond/Montclair/Oakland East/Oakmore/Piedmont/Piedmont Pines/Trestle Glen,Urban,No,No,No,1,0,150 - 199,0
106370652,ALVARADO HOSPITAL MEDICAL CENTER,1/1/06,12/31/06,Open,8/11/72,8/11/72,San Diego,14 - San Diego/Imperial,General Acute Care,Investor - Corporation,Tenet Health Corporation,General Medical / Surgical,NO,226,6655 ALVARADO ROAD,SAN DIEGO,92120-5298,619-287-3270,1,1,1,0,0,0,0,No,198,6880,37043,72270,0,0,0,0,0,0,0,0,18,76,870,2321,6570,10,103,703,1874,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7059,41238,82490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,7059,41238,82490,0,0,0,CV SURG,1,0,0,44,145,44,145,146,2,0,0,0,0,225,200,222,22,447,222,68,22,4,1,4,55,154,0,0,0,No,0,0,0,0,0,0,2456,408180,3561,376380,Yes,12,4,8,0,Basic,Basic,0,0,0,1,0,0,2903,5,7008,29,4667,68,5394,4158,223,187,20195,4447,12,0,789,1,10,8,20,17,14,14,24,17,16,3,16,20,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,YES,744,672,744,720,744,720,744,744,720,744,720,744,161e,78,39,53,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,No,No,No,1,20195,200 - 299,0
